epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,4.938597,0.0100,4.809250,0.0090,0.0075,1.21
5,4.718095,0.0127,4.775892,0.0081,0.0095,4.26
10,4.672246,0.0189,4.793679,0.0052,0.0068,7.31
15,4.620797,0.0271,4.817970,0.0052,0.0088,10.31
20,4.553375,0.0404,4.852950,0.0039,0.0082,13.23
25,4.466740,0.0540,4.914201,0.0053,0.0054,16.00
30,4.358617,0.0702,5.016108,0.0059,0.0075,19.00
35,4.228969,0.0861,5.160781,0.0066,0.0109,21.89
40,4.078887,0.1053,5.332630,0.0078,0.0109,24.84
45,3.906666,0.1357,5.514559,0.0104,0.0143,27.71
50,3.714788,0.1693,5.711963,0.0131,0.0211,30.64
55,3.506626,0.2062,5.939577,0.0192,0.0265,33.66
60,3.283185,0.2425,6.185409,0.0226,0.0354,36.85
65,3.045926,0.2826,6.454713,0.0295,0.0497,39.78
70,2.795666,0.3336,6.750619,0.0418,0.0681,42.46
75,2.532691,0.3900,7.092515,0.0563,0.0824,45.27
80,2.256939,0.4428,7.490420,0.0745,0.0987,48.08
85,1.967132,0.5118,7.954931,0.0997,0.1239,50.98
90,1.669199,0.5944,8.493805,0.1307,0.1484,53.89
95,1.372760,0.6850,9.120382,0.1609,0.1824,56.99
100,1.086887,0.7690,9.852175,0.1930,0.2063,59.82
105,0.823338,0.8484,10.698996,0.2193,0.2294,62.76
110,0.601566,0.8979,11.639213,0.2369,0.2451,65.63
115,0.433515,0.9254,12.644186,0.2459,0.2478,68.63
120,0.320310,0.9333,13.668151,0.2473,0.2485,71.31
125,0.251222,0.9357,14.630173,0.2485,0.2498,74.28
130,0.211381,0.9369,15.454871,0.2489,0.2498,77.29
135,0.187803,0.9389,16.118006,0.2494,0.2512,80.03
140,0.172869,0.9413,16.615189,0.2503,0.2519,83.14
145,0.161957,0.9428,16.958620,0.2507,0.2526,86.00
150,0.154087,0.9442,17.178253,0.2511,0.2526,88.81
155,0.147599,0.9460,17.311058,0.2515,0.2532,91.46
160,0.143517,0.9484,17.383823,0.2523,0.2539,94.23
165,0.138662,0.9493,17.408537,0.2526,0.2546,97.11
170,0.134489,0.9504,17.403635,0.2535,0.2546,100.13
175,0.130315,0.9525,17.388025,0.2537,0.2560,102.97
180,0.127143,0.9528,17.350651,0.2535,0.2566,105.75
185,0.123473,0.9543,17.317911,0.2546,0.2566,108.71
190,0.120353,0.9560,17.288034,0.2555,0.2573,111.75
195,0.117331,0.9563,17.275671,0.2550,0.2566,114.66
200,0.114132,0.9587,17.254665,0.2558,0.2573,117.57
205,0.111243,0.9581,17.232082,0.2561,0.2573,120.57
210,0.108483,0.9593,17.226936,0.2563,0.2573,123.21
215,0.107905,0.9590,17.221001,0.2563,0.2587,126.15
220,0.105541,0.9608,17.208332,0.2565,0.2594,129.34
225,0.102890,0.9602,17.194958,0.2566,0.2587,132.34
230,0.101023,0.9611,17.176512,0.2566,0.2587,135.13
235,0.099532,0.9617,17.168619,0.2570,0.2580,137.97
240,0.097661,0.9631,17.166609,0.2576,0.2594,141.03
245,0.095923,0.9640,17.179079,0.2574,0.2587,143.98
250,0.094643,0.9640,17.187487,0.2574,0.2594,146.87
255,0.091842,0.9667,17.199120,0.2575,0.2587,149.85
260,0.089358,0.9655,17.199398,0.2579,0.2587,152.66
