epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,4.884369,0.0068,4.796690,0.0082,,0.94
5,4.710515,0.0141,4.778469,0.0070,,4.10
10,4.662024,0.0222,4.798125,0.0059,,7.10
15,4.604434,0.0371,4.827418,0.0047,,10.35
20,4.529963,0.0470,4.873183,0.0048,,13.46
25,4.434804,0.0632,4.956745,0.0044,,16.76
30,4.318834,0.0789,5.084559,0.0051,,19.85
35,4.182950,0.1016,5.249638,0.0067,,22.92
40,4.028180,0.1235,5.431542,0.0082,,26.08
45,3.856187,0.1554,5.624096,0.0096,,29.26
50,3.666739,0.1901,5.826229,0.0128,,32.41
55,3.460799,0.2282,6.042233,0.0177,,35.47
60,3.238897,0.2695,6.272573,0.0239,,38.71
65,3.003121,0.3151,6.523436,0.0334,,41.73
70,2.754636,0.3569,6.811253,0.0459,,44.82
75,2.493039,0.4086,7.140182,0.0596,,47.81
80,2.219102,0.4653,7.521174,0.0809,,51.13
85,1.934106,0.5332,7.965020,0.1064,,54.42
90,1.647974,0.6099,8.457147,0.1396,,57.51
95,1.370108,0.6817,9.013041,0.1697,,60.75
100,1.098869,0.7621,9.658812,0.2032,,63.86
105,0.848469,0.8397,10.414154,0.2354,,66.97
110,0.636699,0.8890,11.275543,0.2529,,70.22
115,0.473286,0.9180,12.206106,0.2631,,73.33
120,0.362505,0.9266,13.146169,0.2664,,76.57
125,0.292058,0.9313,14.038609,0.2678,,79.62
130,0.248716,0.9345,14.819502,0.2694,,82.87
135,0.221677,0.9366,15.446938,0.2701,,85.84
140,0.203302,0.9386,15.931269,0.2714,,89.00
145,0.190832,0.9420,16.274902,0.2722,,92.11
150,0.180641,0.9439,16.513565,0.2725,,95.37
155,0.171928,0.9465,16.669975,0.2733,,98.60
160,0.165078,0.9478,16.768127,0.2740,,101.80
165,0.159646,0.9480,16.826355,0.2743,,105.02
170,0.154912,0.9496,16.851757,0.2746,,107.98
175,0.151011,0.9514,16.875889,0.2753,,111.11
180,0.147482,0.9520,16.887560,0.2758,,114.31
185,0.143576,0.9527,16.884514,0.2761,,117.54
190,0.140245,0.9535,16.875849,0.2761,,120.67
195,0.136058,0.9551,16.864866,0.2763,,123.75
200,0.131600,0.9567,16.856436,0.2768,,126.95
205,0.127810,0.9561,16.855286,0.2770,,130.30
210,0.124790,0.9572,16.851233,0.2777,,133.56
215,0.122228,0.9590,16.857204,0.2782,,136.93
220,0.119879,0.9593,16.858696,0.2787,,140.00
225,0.116951,0.9614,16.847401,0.2792,,143.40
230,0.114515,0.9611,16.834244,0.2790,,146.67
235,0.111478,0.9632,16.823702,0.2790,,149.73
240,0.108511,0.9629,16.821911,0.2792,,152.89
245,0.106057,0.9627,16.811579,0.2794,,155.81
250,0.102581,0.9648,16.810286,0.2803,,159.02
255,0.098919,0.9661,16.812775,0.2814,,162.12
260,0.095097,0.9671,16.826338,0.2812,,165.20
265,0.092211,0.9684,16.844126,0.2812,,168.38
270,0.089719,0.9687,16.863111,0.2816,,171.54
275,0.087179,0.9700,16.876093,0.2818,,174.53
280,0.085026,0.9702,16.879211,0.2825,,177.22
285,0.082420,0.9700,16.876097,0.2825,,179.91
290,0.080530,0.9713,16.880648,0.2827,,182.43
295,0.079015,0.9715,16.883657,0.2828,,185.19
300,0.077833,0.9713,16.879141,0.2826,,188.08
305,0.076967,0.9715,16.875185,0.2830,,190.85
310,0.075727,0.9721,16.869915,0.2830,,193.50
315,0.074742,0.9726,16.862146,0.2830,,196.07
320,0.073391,0.9731,16.845921,0.2838,,198.71
325,0.071662,0.9734,16.846598,0.2838,,201.30
330,0.069600,0.9744,16.857372,0.2843,,203.94
335,0.067417,0.9757,16.871353,0.2849,,206.49
340,0.065360,0.9755,16.887123,0.2847,,209.13
345,0.063367,0.9768,16.896276,0.2855,,211.85
