epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,4.913827,0.0091,4.810097,0.0092,0.0102,1.19
5,4.710324,0.0115,4.778432,0.0073,0.0061,4.38
10,4.661969,0.0212,4.793098,0.0067,0.0109,7.38
15,4.602418,0.0304,4.820824,0.0063,0.0061,10.39
20,4.525433,0.0448,4.862801,0.0051,0.0095,13.36
25,4.427172,0.0625,4.936937,0.0056,0.0116,16.35
30,4.307325,0.0773,5.054719,0.0053,0.0129,19.58
35,4.167020,0.0968,5.210320,0.0063,0.0157,22.58
40,4.007571,0.1189,5.387084,0.0073,0.0191,25.61
45,3.829253,0.1454,5.576609,0.0099,0.0218,28.73
50,3.629595,0.1743,5.778749,0.0137,0.0238,31.85
55,3.412210,0.2206,6.015367,0.0171,0.0313,35.11
60,3.183340,0.2578,6.295841,0.0240,0.0374,38.24
65,2.944914,0.3035,6.602595,0.0312,0.0511,41.34
70,2.695617,0.3537,6.932979,0.0413,0.0613,44.59
75,2.434137,0.4086,7.299010,0.0536,0.0742,47.83
80,2.159397,0.4581,7.712699,0.0710,0.0892,51.17
85,1.876418,0.5298,8.196375,0.0908,0.1137,54.20
90,1.588549,0.6133,8.746637,0.1155,0.1416,57.19
95,1.301333,0.7053,9.404992,0.1418,0.1654,60.04
100,1.023835,0.7903,10.178092,0.1670,0.1913,63.10
105,0.773372,0.8634,11.031538,0.1923,0.2138,66.13
110,0.564510,0.9094,11.986201,0.2147,0.2314,69.38
115,0.404871,0.9336,13.010778,0.2310,0.2444,72.36
120,0.295981,0.9425,14.047114,0.2374,0.2485,75.32
125,0.229106,0.9457,15.011977,0.2410,0.2505,78.51
130,0.189294,0.9466,15.841289,0.2420,0.2532,81.39
135,0.165003,0.9499,16.505754,0.2424,0.2539,84.35
140,0.148885,0.9528,17.007307,0.2431,0.2539,87.28
145,0.136451,0.9555,17.375044,0.2426,0.2546,90.21
150,0.126729,0.9575,17.631720,0.2437,0.2553,93.05
155,0.118120,0.9599,17.820549,0.2436,0.2560,96.22
160,0.110325,0.9628,17.964016,0.2427,0.2560,99.11
165,0.103430,0.9640,18.077957,0.2415,0.2532,102.17
170,0.097600,0.9652,18.179995,0.2413,0.2512,105.10
175,0.092807,0.9661,18.270267,0.2402,0.2532,107.95
180,0.089070,0.9667,18.347364,0.2396,0.2519,110.89
185,0.085436,0.9670,18.407421,0.2394,0.2512,113.85
190,0.082103,0.9687,18.450546,0.2392,0.2519,116.92
195,0.079041,0.9693,18.489729,0.2387,0.2485,119.88
200,0.076940,0.9696,18.522921,0.2389,0.2498,122.89
205,0.074901,0.9702,18.531769,0.2391,0.2491,126.01
210,0.072999,0.9708,18.527287,0.2388,0.2491,129.88
215,0.071007,0.9708,18.519043,0.2393,0.2478,134.26
220,0.068859,0.9723,18.507378,0.2391,0.2485,137.73
225,0.066929,0.9723,18.495419,0.2388,0.2457,140.77
230,0.065460,0.9732,18.494007,0.2384,0.2478,143.82
235,0.064259,0.9735,18.498468,0.2388,0.2485,146.75
240,0.062998,0.9729,18.490742,0.2386,0.2471,149.85
245,0.062071,0.9737,18.471085,0.2383,0.2471,152.81
250,0.061380,0.9740,18.450975,0.2391,0.2478,155.71
255,0.059806,0.9752,18.437204,0.2382,0.2478,158.79
260,0.059235,0.9758,18.414522,0.2377,0.2471,161.70
265,0.059601,0.9752,18.376554,0.2375,0.2437,164.71
270,0.058443,0.9755,18.341080,0.2384,0.2491,167.53
275,0.057058,0.9752,18.315403,0.2386,0.2512,170.50
280,0.054922,0.9770,18.297792,0.2382,0.2485,173.37
285,0.053640,0.9770,18.276707,0.2384,0.2478,176.47
290,0.052409,0.9770,18.263311,0.2386,0.2498,179.32
295,0.051529,0.9779,18.261360,0.2388,0.2498,182.18
300,0.050734,0.9785,18.255077,0.2396,0.2485,185.16
305,0.049906,0.9773,18.255369,0.2396,0.2485,188.16
310,0.049222,0.9782,18.258722,0.2402,0.2485,191.18
315,0.048632,0.9782,18.255203,0.2401,0.2485,194.16
320,0.047644,0.9785,18.248892,0.2399,0.2485,197.36
325,0.046618,0.9808,18.243322,0.2402,0.2478,200.50
330,0.045651,0.9811,18.246698,0.2394,0.2457,203.33
335,0.044830,0.9811,18.247719,0.2394,0.2464,205.99
340,0.043924,0.9808,18.257812,0.2398,0.2478,208.71
345,0.042920,0.9805,18.274176,0.2399,0.2471,211.42
350,0.041732,0.9823,18.286999,0.2396,0.2464,214.08
355,0.040502,0.9820,18.301674,0.2399,0.2457,216.88
360,0.038946,0.9832,18.331097,0.2401,0.2464,219.65
365,0.037638,0.9838,18.364656,0.2406,0.2471,222.45
370,0.037377,0.9832,18.384716,0.2388,0.2478,225.14
375,0.037110,0.9844,18.378143,0.2388,0.2485,227.96
380,0.036183,0.9841,18.379509,0.2394,0.2512,231.00
385,0.034947,0.9850,18.344563,0.2394,0.2498,234.42
390,0.033721,0.9858,18.317614,0.2402,0.2512,237.57
395,0.032464,0.9861,18.296236,0.2397,0.2498,240.49
400,0.031729,0.9861,18.279524,0.2403,0.2491,243.37
405,0.030823,0.9873,18.268381,0.2407,0.2498,246.26
410,0.029900,0.9870,18.276705,0.2399,0.2505,249.11
415,0.029382,0.9873,18.291746,0.2407,0.2491,252.02
420,0.028487,0.9873,18.305227,0.2406,0.2512,254.95
425,0.027849,0.9882,18.330223,0.2411,0.2498,257.99
430,0.027319,0.9888,18.345537,0.2410,0.2498,260.87
435,0.026711,0.9885,18.362026,0.2408,0.2505,264.01
440,0.025983,0.9885,18.375414,0.2408,0.2471,266.95
445,0.025012,0.9891,18.386318,0.2406,0.2485,269.88
450,0.024308,0.9897,18.402765,0.2398,0.2464,272.68
455,0.027548,0.9897,18.386410,0.2387,0.2478,275.44
460,0.024845,0.9906,18.330029,0.2399,0.2457,278.19
465,0.022900,0.9914,18.299501,0.2396,0.2485,280.91
470,0.021616,0.9923,18.261602,0.2402,0.2512,283.71
475,0.020525,0.9926,18.246408,0.2407,0.2512,286.53
480,0.019508,0.9926,18.258524,0.2420,0.2526,289.25
485,0.018609,0.9929,18.257132,0.2418,0.2512,292.08
490,0.017963,0.9929,18.259176,0.2420,0.2505,295.08
495,0.017529,0.9932,18.268354,0.2421,0.2519,297.98
500,0.017123,0.9929,18.279322,0.2420,0.2539,300.96
505,0.016727,0.9935,18.291740,0.2418,0.2539,304.00
510,0.016487,0.9935,18.308897,0.2429,0.2539,306.88
515,0.016045,0.9938,18.327990,0.2434,0.2532,309.70
520,0.015566,0.9938,18.348637,0.2432,0.2526,312.74
525,0.015144,0.9938,18.371132,0.2440,0.2519,315.91
530,0.014639,0.9941,18.391941,0.2435,0.2526,318.88
535,0.013908,0.9950,18.416605,0.2432,0.2532,321.77
540,0.013165,0.9950,18.452333,0.2430,0.2519,324.85
545,0.012378,0.9953,18.505630,0.2430,0.2505,327.78
550,0.011844,0.9959,18.570004,0.2426,0.2539,330.65
555,0.011320,0.9956,18.625053,0.2429,0.2539,333.49
560,0.010791,0.9959,18.679508,0.2429,0.2546,336.48
565,0.010057,0.9965,18.732759,0.2431,0.2553,339.34
570,0.009442,0.9965,18.787432,0.2429,0.2546,342.30
575,0.009149,0.9968,18.835911,0.2439,0.2546,345.08
580,0.008878,0.9965,18.878757,0.2436,0.2532,347.95
585,0.008721,0.9971,18.911003,0.2440,0.2539,350.88
590,0.008035,0.9976,18.928270,0.2435,0.2532,353.71
595,0.007429,0.9979,18.926125,0.2439,0.2512,356.68
600,0.006272,0.9982,18.920443,0.2446,0.2539,359.50
605,0.005864,0.9982,18.922411,0.2450,0.2539,362.52
610,0.005394,0.9982,18.934565,0.2448,0.2546,365.58
615,0.004736,0.9985,18.982576,0.2442,0.2532,368.48
620,0.004328,0.9988,19.027662,0.2440,0.2498,371.43
625,0.003909,0.9988,19.083509,0.2448,0.2553,374.31
630,0.003797,0.9988,19.137285,0.2454,0.2539,377.30
635,0.003600,0.9988,19.167051,0.2456,0.2546,379.98
640,0.003469,0.9991,19.192383,0.2466,0.2539,383.01
645,0.003402,0.9991,19.225225,0.2464,0.2546,386.13
650,0.003298,0.9991,19.249357,0.2469,0.2546,389.15
655,0.003261,0.9991,19.272804,0.2470,0.2546,392.02
660,0.003069,0.9991,19.297791,0.2470,0.2546,394.93
665,0.002888,0.9991,19.332657,0.2469,0.2546,397.86
670,0.002757,0.9991,19.370392,0.2468,0.2539,400.65
675,0.002718,0.9991,19.419384,0.2466,0.2526,403.55
680,0.002517,0.9994,19.462421,0.2469,0.2539,406.51
685,0.002250,0.9994,19.519114,0.2473,0.2546,409.30
690,0.002185,0.9994,19.579460,0.2466,0.2546,412.17
695,0.002069,0.9994,19.639589,0.2466,0.2539,415.14
700,0.002033,0.9994,19.697634,0.2472,0.2539,417.93
705,0.001949,0.9994,19.753811,0.2473,0.2553,420.75
710,0.001928,0.9994,19.807085,0.2470,0.2546,423.58
715,0.001861,0.9994,19.854391,0.2470,0.2553,426.41
720,0.001830,0.9994,19.901918,0.2474,0.2546,429.39
725,0.001807,0.9994,19.948462,0.2472,0.2553,432.67
730,0.001772,0.9994,19.994749,0.2477,0.2553,435.48
735,0.001721,0.9994,20.039970,0.2478,0.2553,438.28
740,0.001734,0.9994,20.087290,0.2480,0.2553,441.14
745,0.001716,0.9994,20.132639,0.2479,0.2553,444.02
750,0.001672,0.9994,20.177616,0.2479,0.2560,446.99
755,0.001635,0.9994,20.224609,0.2480,0.2560,450.01
760,0.001612,0.9994,20.274843,0.2482,0.2560,452.98
765,0.001574,0.9994,20.328272,0.2483,0.2560,455.68
770,0.001545,0.9994,20.386467,0.2484,0.2560,458.37
775,0.001548,0.9994,20.444506,0.2483,0.2560,461.29
780,0.001492,0.9994,20.501858,0.2484,0.2560,464.13
