epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,4.937603,0.0102,4.825829,0.0087,,1.21
5,4.718985,0.0128,4.771939,0.0066,,4.92
10,4.676250,0.0222,4.787683,0.0058,,8.36
15,4.626195,0.0295,4.812393,0.0066,,11.78
20,4.563744,0.0436,4.852151,0.0057,,15.27
25,4.482944,0.0587,4.915066,0.0047,,18.59
30,4.382936,0.0637,5.009060,0.0041,,22.01
35,4.262545,0.0825,5.139816,0.0051,,25.35
40,4.124662,0.0979,5.298676,0.0063,,28.77
45,3.969386,0.1292,5.466853,0.0087,,32.15
50,3.795527,0.1611,5.637420,0.0111,,35.49
55,3.604025,0.1932,5.821180,0.0150,,38.75
60,3.399026,0.2269,6.033834,0.0186,,42.02
65,3.182617,0.2765,6.268101,0.0249,,45.27
70,2.955359,0.3133,6.524220,0.0318,,48.59
75,2.715977,0.3538,6.805523,0.0421,,51.97
80,2.464277,0.4133,7.121262,0.0583,,55.66
85,2.198698,0.4668,7.480615,0.0743,,59.02
90,1.927301,0.5298,7.875494,0.0949,,62.54
95,1.656007,0.5969,8.326149,0.1193,,65.91
100,1.382113,0.6786,8.868595,0.1452,,69.30
105,1.114151,0.7632,9.505300,0.1740,,72.49
110,0.864941,0.8287,10.255810,0.1985,,75.81
115,0.650760,0.8841,11.086572,0.2207,,79.14
120,0.484946,0.9144,11.973461,0.2375,,82.35
125,0.367303,0.9238,12.882930,0.2453,,85.67
130,0.291140,0.9305,13.751762,0.2489,,89.11
135,0.243303,0.9358,14.526396,0.2516,,92.57
140,0.212564,0.9371,15.164141,0.2525,,95.90
145,0.191866,0.9405,15.663130,0.2538,,99.33
150,0.177959,0.9418,16.029720,0.2533,,102.66
155,0.166344,0.9446,16.288919,0.2522,,105.99
160,0.157123,0.9465,16.462194,0.2520,,109.40
165,0.148975,0.9486,16.585169,0.2511,,112.99
170,0.141414,0.9499,16.670637,0.2511,,116.33
175,0.134086,0.9525,16.734577,0.2519,,119.75
180,0.127576,0.9548,16.785408,0.2528,,123.15
185,0.121829,0.9551,16.831165,0.2522,,126.77
190,0.117703,0.9567,16.869299,0.2501,,130.24
195,0.113140,0.9587,16.894054,0.2498,,133.70
200,0.109513,0.9606,16.904160,0.2501,,137.30
205,0.105278,0.9601,16.915329,0.2491,,140.65
210,0.101933,0.9621,16.924156,0.2497,,143.95
215,0.098238,0.9616,16.939749,0.2481,,147.35
