epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,4.865205,0.0086,4.792474,0.0092,,1.15
5,4.705862,0.0136,4.774968,0.0078,,4.58
10,4.658375,0.0214,4.801441,0.0045,,8.02
15,4.596615,0.0316,4.833194,0.0032,,11.33
20,4.518584,0.0491,4.891258,0.0040,,14.56
25,4.420450,0.0582,4.986466,0.0046,,17.65
30,4.300052,0.0783,5.120401,0.0047,,20.88
35,4.157988,0.0992,5.283870,0.0050,,23.90
40,3.995442,0.1266,5.460869,0.0058,,27.09
45,3.814185,0.1634,5.654051,0.0092,,30.21
50,3.614910,0.1997,5.859924,0.0120,,33.34
55,3.400886,0.2423,6.079370,0.0175,,36.75
60,3.173135,0.2859,6.320117,0.0246,,40.03
65,2.932830,0.3337,6.579065,0.0357,,43.38
70,2.679413,0.3822,6.867711,0.0470,,46.61
75,2.411511,0.4342,7.184134,0.0624,,49.74
80,2.127710,0.4914,7.552586,0.0827,,52.96
85,1.833335,0.5533,7.995658,0.1078,,56.21
90,1.540356,0.6444,8.484100,0.1373,,59.59
95,1.253049,0.7285,9.065298,0.1671,,62.75
100,0.978985,0.8010,9.755329,0.1971,,65.94
105,0.735410,0.8728,10.521090,0.2237,,69.35
110,0.532763,0.9201,11.361270,0.2461,,72.70
115,0.375465,0.9475,12.268203,0.2598,,75.83
120,0.265936,0.9585,13.180890,0.2680,,78.73
125,0.197152,0.9611,14.045388,0.2718,,82.03
130,0.155769,0.9642,14.791989,0.2733,,85.04
135,0.129924,0.9648,15.394866,0.2741,,88.17
140,0.112875,0.9663,15.854795,0.2752,,91.28
145,0.101156,0.9692,16.185368,0.2746,,94.22
150,0.092755,0.9702,16.415771,0.2748,,97.19
155,0.086681,0.9710,16.577366,0.2753,,100.22
160,0.081882,0.9710,16.681065,0.2751,,103.73
165,0.077964,0.9713,16.746202,0.2750,,107.19
170,0.074900,0.9723,16.776514,0.2750,,110.50
175,0.072051,0.9731,16.784332,0.2748,,113.85
180,0.069119,0.9749,16.786655,0.2743,,117.00
185,0.066381,0.9760,16.783489,0.2746,,120.15
