epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,4.949182,0.0091,4.807992,0.0076,,1.07
5,4.720637,0.0128,4.782503,0.0066,,4.12
10,4.682312,0.0191,4.783171,0.0055,,7.47
15,4.642182,0.0282,4.803997,0.0049,,10.75
20,4.587962,0.0386,4.837887,0.0038,,14.02
25,4.515494,0.0554,4.888213,0.0044,,16.90
30,4.423395,0.0663,4.971377,0.0049,,19.92
35,4.312517,0.0762,5.091244,0.0057,,23.32
40,4.184943,0.0940,5.232244,0.0067,,26.46
45,4.039847,0.1222,5.379256,0.0066,,29.72
50,3.875554,0.1520,5.530535,0.0096,,32.90
55,3.693388,0.1789,5.702896,0.0109,,36.09
60,3.493541,0.2258,5.902963,0.0172,,39.32
65,3.278053,0.2668,6.125772,0.0229,,42.46
70,3.050473,0.3089,6.365152,0.0334,,45.50
75,2.812823,0.3460,6.625757,0.0426,,48.63
80,2.565321,0.3924,6.920325,0.0578,,51.75
85,2.306112,0.4483,7.255694,0.0786,,54.78
90,2.038221,0.5063,7.638216,0.1003,,58.07
95,1.766363,0.5692,8.059401,0.1262,,61.22
100,1.491902,0.6460,8.558320,0.1603,,64.28
105,1.216535,0.7332,9.150050,0.1977,,67.41
110,0.953326,0.8172,9.844857,0.2315,,70.48
115,0.719753,0.8815,10.606286,0.2576,,73.59
120,0.524632,0.9240,11.461934,0.2742,,76.67
125,0.377134,0.9449,12.387305,0.2811,,79.78
130,0.277166,0.9520,13.320076,0.2837,,82.81
135,0.216076,0.9540,14.196794,0.2839,,86.08
140,0.180769,0.9559,14.936231,0.2847,,89.14
145,0.160676,0.9556,15.512472,0.2845,,92.21
150,0.148247,0.9564,15.921592,0.2846,,95.26
155,0.140516,0.9567,16.191673,0.2852,,98.17
160,0.134583,0.9577,16.351360,0.2856,,101.49
165,0.131685,0.9590,16.425730,0.2856,,104.84
170,0.127530,0.9582,16.451595,0.2857,,108.20
175,0.123980,0.9601,16.448822,0.2862,,111.44
180,0.121594,0.9603,16.423580,0.2865,,114.69
185,0.119477,0.9608,16.389757,0.2868,,117.82
190,0.117233,0.9619,16.360861,0.2875,,120.98
195,0.114818,0.9627,16.336414,0.2875,,124.11
200,0.112466,0.9645,16.324192,0.2874,,127.30
205,0.111060,0.9637,16.310953,0.2876,,130.32
210,0.108461,0.9648,16.298105,0.2882,,133.43
215,0.106010,0.9666,16.291849,0.2886,,136.56
220,0.103239,0.9663,16.291143,0.2888,,139.76
225,0.101127,0.9679,16.288042,0.2890,,143.04
230,0.097990,0.9692,16.292545,0.2902,,146.14
235,0.096071,0.9702,16.294292,0.2903,,149.38
240,0.093021,0.9708,16.301888,0.2905,,152.57
245,0.090833,0.9705,16.307076,0.2904,,155.78
250,0.089135,0.9723,16.319820,0.2907,,159.11
255,0.087668,0.9718,16.327206,0.2906,,162.73
260,0.087183,0.9715,16.327389,0.2911,,166.26
265,0.085446,0.9723,16.320856,0.2910,,169.74
270,0.083547,0.9728,16.299454,0.2915,,173.09
275,0.081510,0.9723,16.272736,0.2916,,176.42
280,0.079572,0.9739,16.247726,0.2916,,179.85
285,0.077814,0.9744,16.237629,0.2919,,183.24
290,0.076224,0.9757,16.232243,0.2920,,186.55
295,0.074925,0.9757,16.235332,0.2923,,190.01
300,0.073736,0.9760,16.238003,0.2928,,193.37
305,0.071131,0.9778,16.249704,0.2930,,196.63
310,0.068328,0.9781,16.258657,0.2929,,199.85
315,0.066343,0.9794,16.288837,0.2937,,202.92
320,0.064125,0.9789,16.319963,0.2935,,206.12
325,0.061520,0.9804,16.350550,0.2938,,209.21
330,0.059167,0.9812,16.368118,0.2941,,212.27
335,0.057538,0.9809,16.381788,0.2946,,215.33
340,0.056015,0.9820,16.384701,0.2946,,218.41
345,0.054688,0.9828,16.387527,0.2948,,221.66
350,0.053694,0.9820,16.383505,0.2946,,224.60
