epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,4.937576,0.0073,4.833447,0.0086,,0.79
5,4.720912,0.0123,4.760754,0.0066,,3.37
10,4.689687,0.0183,4.783692,0.0066,,5.89
15,4.647591,0.0266,4.806782,0.0041,,8.46
20,4.593671,0.0305,4.835761,0.0045,,11.04
25,4.523563,0.0405,4.891174,0.0039,,13.63
30,4.434765,0.0569,4.974786,0.0047,,16.12
35,4.328097,0.0697,5.091446,0.0049,,18.86
40,4.203753,0.0890,5.230191,0.0053,,21.54
45,4.059977,0.1175,5.386178,0.0068,,24.17
50,3.896950,0.1462,5.560588,0.0078,,26.73
55,3.718064,0.1830,5.760118,0.0110,,29.23
60,3.524089,0.2149,5.974487,0.0155,,31.77
65,3.315620,0.2572,6.198645,0.0214,,34.35
70,3.093776,0.3037,6.442806,0.0303,,36.82
75,2.859361,0.3475,6.721205,0.0408,,39.38
80,2.613904,0.3987,7.041140,0.0530,,41.83
85,2.356315,0.4496,7.398703,0.0718,,44.36
90,2.091759,0.5078,7.784228,0.0945,,46.86
95,1.819290,0.5710,8.222672,0.1185,,49.44
100,1.540794,0.6418,8.735250,0.1495,,51.90
105,1.267338,0.7204,9.324316,0.1826,,54.49
110,1.008161,0.7971,9.993428,0.2166,,57.08
115,0.773179,0.8598,10.760808,0.2410,,59.65
120,0.571786,0.9086,11.626710,0.2593,,62.11
125,0.415740,0.9342,12.563614,0.2689,,64.63
130,0.306905,0.9439,13.512784,0.2721,,67.16
135,0.237788,0.9493,14.409673,0.2742,,69.64
140,0.196384,0.9525,15.190910,0.2748,,72.16
145,0.171146,0.9522,15.816779,0.2750,,74.66
150,0.155392,0.9543,16.290339,0.2754,,77.16
155,0.145187,0.9559,16.625460,0.2756,,79.68
160,0.137705,0.9561,16.847624,0.2760,,82.15
165,0.132241,0.9574,16.984610,0.2768,,84.79
170,0.127387,0.9590,17.052443,0.2772,,87.38
175,0.123959,0.9598,17.075241,0.2775,,89.99
180,0.120600,0.9601,17.052912,0.2780,,92.37
185,0.116234,0.9621,17.009439,0.2788,,94.85
190,0.113142,0.9634,16.964239,0.2792,,97.26
195,0.110681,0.9645,16.911331,0.2792,,99.70
200,0.108562,0.9645,16.862049,0.2798,,102.16
205,0.106632,0.9653,16.804182,0.2798,,104.66
210,0.104896,0.9645,16.760338,0.2794,,107.07
215,0.102827,0.9658,16.712215,0.2803,,109.53
220,0.100010,0.9663,16.676926,0.2802,,111.98
225,0.097358,0.9661,16.648846,0.2808,,114.52
230,0.094491,0.9681,16.630810,0.2815,,116.96
235,0.091868,0.9679,16.621601,0.2812,,119.42
240,0.089620,0.9705,16.626842,0.2815,,121.89
245,0.087354,0.9702,16.631598,0.2816,,124.34
250,0.085303,0.9708,16.658537,0.2816,,126.84
255,0.083883,0.9721,16.690130,0.2821,,129.35
260,0.081095,0.9721,16.700619,0.2827,,131.84
265,0.077958,0.9734,16.719749,0.2827,,134.32
270,0.075134,0.9739,16.731985,0.2829,,136.78
275,0.072861,0.9744,16.751369,0.2829,,139.25
280,0.070877,0.9755,16.771692,0.2833,,141.78
285,0.068836,0.9757,16.789362,0.2837,,144.28
290,0.067138,0.9770,16.810690,0.2837,,146.68
295,0.065460,0.9778,16.822020,0.2839,,149.20
300,0.063763,0.9775,16.822741,0.2838,,151.65
305,0.062481,0.9781,16.801853,0.2839,,154.18
310,0.060904,0.9783,16.754469,0.2841,,156.62
315,0.058490,0.9796,16.713449,0.2846,,159.09
320,0.056476,0.9807,16.658998,0.2850,,161.57
325,0.053944,0.9809,16.606415,0.2853,,164.05
330,0.052833,0.9812,16.570511,0.2853,,166.53
335,0.051945,0.9815,16.537722,0.2850,,168.99
340,0.051085,0.9812,16.515879,0.2855,,171.47
345,0.050356,0.9812,16.503138,0.2855,,173.94
350,0.049242,0.9825,16.500095,0.2855,,176.57
355,0.048061,0.9828,16.498075,0.2856,,179.12
360,0.047154,0.9828,16.512363,0.2856,,181.58
365,0.046338,0.9828,16.529522,0.2856,,184.17
370,0.045475,0.9830,16.554932,0.2857,,186.59
375,0.045051,0.9833,16.574673,0.2860,,189.09
380,0.043876,0.9836,16.584410,0.2864,,191.65
385,0.042764,0.9838,16.597952,0.2862,,194.13
390,0.041903,0.9846,16.608377,0.2864,,196.60
395,0.040848,0.9849,16.624407,0.2865,,199.11
400,0.039883,0.9851,16.637537,0.2867,,201.63
405,0.038935,0.9854,16.647863,0.2865,,204.09
410,0.038982,0.9859,16.664925,0.2864,,206.53
415,0.038695,0.9849,16.668386,0.2866,,209.12
420,0.039506,0.9849,16.647858,0.2871,,211.61
425,0.038400,0.9859,16.608095,0.2872,,214.08
430,0.037759,0.9862,16.553526,0.2868,,216.59
435,0.037154,0.9859,16.494312,0.2867,,219.11
440,0.036003,0.9862,16.451525,0.2868,,221.73
445,0.035470,0.9867,16.423876,0.2866,,224.25
450,0.035065,0.9869,16.393751,0.2872,,226.68
455,0.034525,0.9869,16.370722,0.2871,,229.15
460,0.033891,0.9875,16.362473,0.2872,,231.67
465,0.033331,0.9877,16.368734,0.2871,,234.25
470,0.032928,0.9872,16.381472,0.2873,,236.71
475,0.032205,0.9885,16.400919,0.2872,,239.29
480,0.031257,0.9883,16.432972,0.2874,,241.91
485,0.030613,0.9893,16.469978,0.2873,,244.51
490,0.029910,0.9893,16.516029,0.2875,,246.98
495,0.029107,0.9893,16.559895,0.2875,,249.46
500,0.027505,0.9901,16.601437,0.2878,,252.07
505,0.026184,0.9896,16.643375,0.2876,,254.53
510,0.025478,0.9906,16.681635,0.2880,,257.02
515,0.024873,0.9906,16.718023,0.2876,,259.62
520,0.025022,0.9903,16.745216,0.2880,,262.25
525,0.024341,0.9909,16.746237,0.2882,,264.79
530,0.023223,0.9919,16.721306,0.2882,,267.32
535,0.022567,0.9922,16.689331,0.2883,,269.84
540,0.020993,0.9924,16.657703,0.2885,,272.35
545,0.019927,0.9922,16.642199,0.2886,,274.79
550,0.019055,0.9935,16.640846,0.2886,,277.21
555,0.017833,0.9937,16.664106,0.2890,,279.59
560,0.016913,0.9943,16.703390,0.2888,,282.04
565,0.016221,0.9943,16.753199,0.2891,,284.49
570,0.015779,0.9940,16.809113,0.2888,,286.99
575,0.015413,0.9943,16.855722,0.2887,,289.43
580,0.015148,0.9943,16.906645,0.2891,,291.79
585,0.014895,0.9943,16.944693,0.2890,,294.17
590,0.014761,0.9943,16.978453,0.2891,,296.61
595,0.014379,0.9945,16.998341,0.2892,,299.06
600,0.014104,0.9948,17.018606,0.2890,,301.50
605,0.013901,0.9945,17.039524,0.2894,,303.92
610,0.013544,0.9950,17.061005,0.2895,,306.37
615,0.013423,0.9950,17.092024,0.2892,,308.79
620,0.013131,0.9950,17.118944,0.2894,,311.21
625,0.012913,0.9950,17.148142,0.2894,,313.60
630,0.012643,0.9948,17.173544,0.2896,,316.01
635,0.012003,0.9956,17.205704,0.2896,,318.47
640,0.011995,0.9953,17.230280,0.2897,,320.89
645,0.012967,0.9953,17.222818,0.2894,,323.28
650,0.012310,0.9958,17.206057,0.2895,,325.66
655,0.011500,0.9958,17.169308,0.2900,,328.06
660,0.010927,0.9956,17.147675,0.2899,,330.46
665,0.010421,0.9961,17.140219,0.2899,,332.84
670,0.009739,0.9963,17.144741,0.2900,,335.22
675,0.009138,0.9963,17.166615,0.2904,,337.65
680,0.008913,0.9963,17.195154,0.2901,,340.05
685,0.008753,0.9963,17.220301,0.2904,,342.45
690,0.008616,0.9969,17.250507,0.2903,,344.89
695,0.008243,0.9969,17.283947,0.2903,,347.30
700,0.007973,0.9969,17.313391,0.2906,,349.72
705,0.007799,0.9971,17.340662,0.2906,,352.15
710,0.007542,0.9974,17.381723,0.2906,,354.57
715,0.007151,0.9971,17.416487,0.2905,,356.98
720,0.006726,0.9974,17.458454,0.2905,,359.38
