epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,4.938593,0.0100,4.810082,0.0085,0.0088,1.35
5,4.716673,0.0127,4.777114,0.0077,0.0082,4.80
10,4.669400,0.0192,4.795900,0.0053,0.0068,8.27
15,4.616599,0.0286,4.820587,0.0057,0.0088,11.73
20,4.547701,0.0448,4.856771,0.0044,0.0054,15.23
25,4.459146,0.0563,4.920911,0.0057,0.0068,18.81
30,4.348379,0.0699,5.027150,0.0061,0.0082,22.24
35,4.214364,0.0885,5.175720,0.0076,0.0075,25.77
40,4.057724,0.1027,5.351291,0.0085,0.0123,29.30
45,3.878041,0.1398,5.543603,0.0109,0.0157,32.92
50,3.679184,0.1749,5.760666,0.0137,0.0197,36.60
55,3.462935,0.2156,6.008220,0.0185,0.0279,40.07
60,3.232042,0.2593,6.280032,0.0226,0.0415,43.52
65,2.988721,0.2988,6.578279,0.0295,0.0517,47.06
70,2.732925,0.3510,6.916367,0.0389,0.0633,50.76
75,2.464012,0.4044,7.301241,0.0532,0.0722,54.17
80,2.181862,0.4696,7.740628,0.0723,0.0933,57.57
85,1.888554,0.5386,8.255118,0.0905,0.1110,60.74
90,1.591298,0.6162,8.847678,0.1152,0.1355,64.21
95,1.298028,0.7029,9.543852,0.1416,0.1607,67.66
100,1.022810,0.7850,10.348921,0.1638,0.1777,70.94
105,0.778658,0.8501,11.263307,0.1845,0.1974,74.32
110,0.574926,0.8953,12.275868,0.1968,0.2056,77.49
115,0.421432,0.9189,13.358501,0.2043,0.2063,80.89
120,0.318526,0.9268,14.447301,0.2058,0.2117,84.05
125,0.256088,0.9292,15.469183,0.2066,0.2138,87.26
130,0.219784,0.9324,16.336573,0.2073,0.2124,90.46
135,0.197534,0.9345,17.017853,0.2078,0.2131,93.66
140,0.182129,0.9351,17.522989,0.2086,0.2178,96.99
145,0.171270,0.9389,17.856012,0.2094,0.2172,100.15
150,0.161334,0.9410,18.052649,0.2101,0.2178,103.46
155,0.154889,0.9440,18.167547,0.2107,0.2199,106.69
160,0.149249,0.9451,18.224161,0.2115,0.2192,109.92
165,0.144308,0.9463,18.239468,0.2113,0.2206,113.25
170,0.139365,0.9481,18.246197,0.2119,0.2212,116.40
175,0.135242,0.9484,18.252352,0.2120,0.2219,119.60
180,0.131264,0.9493,18.244244,0.2123,0.2219,123.01
185,0.128412,0.9513,18.242647,0.2130,0.2246,126.50
190,0.124474,0.9525,18.227770,0.2130,0.2226,131.07
195,0.121316,0.9534,18.204782,0.2137,0.2212,135.79
200,0.117640,0.9543,18.165382,0.2144,0.2240,139.30
205,0.114603,0.9558,18.120375,0.2145,0.2226,142.62
210,0.111256,0.9563,18.079197,0.2152,0.2240,146.05
215,0.108151,0.9581,18.051531,0.2149,0.2260,149.37
220,0.105837,0.9599,18.036266,0.2158,0.2287,152.56
225,0.103663,0.9593,18.026110,0.2155,0.2280,155.74
230,0.101411,0.9599,18.017368,0.2161,0.2314,159.17
235,0.098602,0.9611,18.002310,0.2168,0.2287,162.37
240,0.095832,0.9608,18.016258,0.2161,0.2308,165.67
245,0.093425,0.9619,18.026548,0.2163,0.2287,168.85
250,0.091798,0.9617,18.045780,0.2169,0.2294,172.53
255,0.090731,0.9625,18.065256,0.2171,0.2301,175.93
260,0.089613,0.9646,18.065378,0.2162,0.2308,179.37
265,0.087541,0.9649,18.050392,0.2162,0.2308,182.78
270,0.085712,0.9649,18.028919,0.2166,0.2308,185.95
275,0.083387,0.9664,18.001617,0.2162,0.2308,189.34
280,0.081323,0.9678,17.982864,0.2164,0.2280,192.78
285,0.079032,0.9681,17.977152,0.2171,0.2294,196.02
290,0.076495,0.9678,17.981642,0.2164,0.2308,199.16
295,0.073921,0.9702,17.996384,0.2171,0.2314,202.44
300,0.070981,0.9717,18.026896,0.2166,0.2349,205.53
305,0.068109,0.9726,18.057152,0.2164,0.2321,208.64
310,0.065018,0.9740,18.096251,0.2171,0.2335,211.64
315,0.062466,0.9749,18.127863,0.2173,0.2328,214.63
320,0.060799,0.9758,18.170200,0.2176,0.2335,217.83
325,0.059082,0.9755,18.199469,0.2190,0.2355,221.00
330,0.057538,0.9764,18.233982,0.2191,0.2355,224.19
335,0.056532,0.9764,18.235281,0.2191,0.2369,227.30
340,0.055771,0.9767,18.231615,0.2200,0.2376,230.57
345,0.054629,0.9767,18.226320,0.2188,0.2369,234.20
350,0.053148,0.9770,18.226931,0.2193,0.2376,237.68
355,0.051741,0.9782,18.232315,0.2192,0.2383,241.14
360,0.050156,0.9791,18.214600,0.2198,0.2403,244.50
365,0.049208,0.9794,18.187382,0.2196,0.2383,247.49
370,0.048586,0.9794,18.147259,0.2186,0.2362,250.47
375,0.047748,0.9805,18.100481,0.2200,0.2362,253.46
380,0.046987,0.9799,18.055923,0.2201,0.2376,256.53
385,0.046098,0.9814,18.008362,0.2211,0.2376,259.75
390,0.045441,0.9808,17.966778,0.2212,0.2383,262.88
395,0.044621,0.9814,17.943876,0.2204,0.2389,265.89
400,0.045769,0.9811,17.924221,0.2223,0.2383,268.91
405,0.045694,0.9814,17.899397,0.2211,0.2410,272.11
410,0.044021,0.9808,17.879290,0.2223,0.2410,275.21
415,0.042677,0.9826,17.873413,0.2219,0.2383,278.49
420,0.041411,0.9832,17.857517,0.2223,0.2383,281.78
425,0.040156,0.9826,17.846445,0.2217,0.2389,284.99
430,0.039357,0.9832,17.856524,0.2210,0.2383,288.18
435,0.038236,0.9841,17.868410,0.2217,0.2383,291.24
440,0.037002,0.9850,17.896029,0.2216,0.2389,294.60
445,0.035738,0.9858,17.946423,0.2212,0.2383,297.95
450,0.034704,0.9853,17.998941,0.2215,0.2389,301.39
455,0.033669,0.9864,18.042679,0.2223,0.2389,304.63
460,0.033277,0.9861,18.078279,0.2230,0.2376,307.73
465,0.032596,0.9861,18.114416,0.2231,0.2389,310.75
470,0.031588,0.9870,18.151384,0.2223,0.2403,314.13
475,0.030339,0.9882,18.189789,0.2231,0.2410,317.44
480,0.029284,0.9882,18.213095,0.2225,0.2389,320.62
485,0.027926,0.9891,18.236830,0.2229,0.2417,323.72
490,0.026089,0.9903,18.284981,0.2219,0.2410,326.94
495,0.023694,0.9914,18.345602,0.2220,0.2437,330.03
500,0.021799,0.9920,18.420712,0.2226,0.2451,333.13
505,0.020045,0.9926,18.503281,0.2241,0.2451,336.42
510,0.018511,0.9938,18.596083,0.2248,0.2451,339.61
515,0.016911,0.9935,18.688108,0.2255,0.2451,342.72
520,0.015307,0.9941,18.773634,0.2248,0.2430,346.03
