epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,4.884276,0.0068,4.797527,0.0085,,1.32
5,4.709026,0.0149,4.779332,0.0073,,5.30
10,4.658271,0.0222,4.800297,0.0054,,9.11
15,4.597894,0.0363,4.830751,0.0046,,12.94
20,4.519984,0.0493,4.880410,0.0049,,16.71
25,4.420863,0.0632,4.970869,0.0050,,20.57
30,4.301298,0.0789,5.107336,0.0059,,24.17
35,4.162135,0.0914,5.275912,0.0070,,27.81
40,4.003167,0.1253,5.454812,0.0078,,31.39
45,3.825811,0.1551,5.650689,0.0098,,35.05
50,3.631241,0.1948,5.863671,0.0120,,38.67
55,3.421520,0.2277,6.081665,0.0162,,42.29
60,3.197474,0.2726,6.320257,0.0234,,45.89
65,2.960360,0.3251,6.589905,0.0311,,49.65
70,2.710999,0.3650,6.891081,0.0423,,53.44
75,2.448507,0.4128,7.229235,0.0550,,57.38
80,2.172231,0.4762,7.618457,0.0722,,61.30
85,1.885041,0.5493,8.073550,0.0980,,65.11
90,1.601448,0.6240,8.571533,0.1210,,68.65
95,1.322660,0.7023,9.151278,0.1491,,72.20
100,1.057328,0.7760,9.824835,0.1768,,75.96
105,0.816299,0.8444,10.616954,0.1986,,79.52
110,0.616747,0.8880,11.488433,0.2133,,83.18
115,0.468061,0.9104,12.422491,0.2214,,86.83
120,0.367774,0.9191,13.363500,0.2243,,90.59
125,0.305112,0.9225,14.236308,0.2275,,94.30
130,0.266605,0.9261,14.982732,0.2269,,98.06
135,0.242076,0.9279,15.575538,0.2288,,101.62
140,0.226519,0.9290,16.025778,0.2306,,105.36
145,0.216310,0.9305,16.322664,0.2308,,109.23
150,0.209751,0.9316,16.497061,0.2311,,113.02
155,0.204690,0.9313,16.571817,0.2317,,116.77
160,0.198959,0.9334,16.590189,0.2317,,120.56
165,0.193574,0.9360,16.585438,0.2320,,124.44
170,0.188405,0.9379,16.573946,0.2316,,128.38
175,0.184114,0.9386,16.564651,0.2317,,132.03
180,0.180220,0.9402,16.559753,0.2324,,135.90
185,0.176466,0.9420,16.552889,0.2321,,139.82
190,0.172225,0.9420,16.547428,0.2328,,143.75
195,0.168145,0.9439,16.549965,0.2318,,147.44
200,0.163934,0.9457,16.569071,0.2326,,151.16
205,0.159685,0.9470,16.595806,0.2327,,154.95
210,0.156100,0.9475,16.612759,0.2335,,158.50
215,0.151196,0.9473,16.617292,0.2340,,162.15
220,0.147740,0.9507,16.627241,0.2338,,165.81
225,0.141910,0.9517,16.644545,0.2337,,169.52
230,0.137299,0.9530,16.670929,0.2349,,173.34
235,0.132616,0.9540,16.709276,0.2349,,177.15
240,0.128621,0.9538,16.757683,0.2360,,180.64
245,0.124810,0.9554,16.799685,0.2368,,184.35
250,0.120717,0.9574,16.831900,0.2367,,188.02
255,0.117360,0.9585,16.868961,0.2377,,191.81
260,0.114064,0.9577,16.890226,0.2382,,195.52
265,0.111180,0.9601,16.899023,0.2377,,199.03
270,0.107886,0.9608,16.907934,0.2382,,202.67
275,0.105006,0.9619,16.915611,0.2382,,206.19
280,0.101501,0.9637,16.926716,0.2386,,209.92
285,0.097844,0.9653,16.941948,0.2400,,214.16
290,0.094424,0.9661,16.959362,0.2400,,218.13
295,0.091943,0.9655,16.975716,0.2402,,222.11
300,0.088950,0.9674,16.981255,0.2406,,226.13
305,0.085282,0.9689,16.989073,0.2404,,229.90
310,0.081913,0.9700,17.001350,0.2402,,233.80
315,0.079846,0.9697,17.019735,0.2420,,237.57
320,0.077440,0.9715,17.042076,0.2421,,241.66
325,0.075216,0.9723,17.057981,0.2417,,245.88
330,0.073523,0.9713,17.064169,0.2435,,249.70
335,0.072024,0.9721,17.072420,0.2443,,253.63
340,0.070123,0.9728,17.080034,0.2442,,257.70
345,0.067299,0.9742,17.085445,0.2452,,261.40
350,0.065357,0.9755,17.089972,0.2456,,264.99
355,0.063554,0.9760,17.066870,0.2466,,268.62
360,0.062260,0.9755,17.050692,0.2460,,272.25
365,0.061136,0.9757,17.026178,0.2472,,276.14
370,0.058914,0.9773,16.995253,0.2472,,280.08
375,0.056485,0.9781,16.981041,0.2464,,284.30
380,0.054299,0.9791,16.977503,0.2470,,288.26
385,0.051837,0.9804,16.978760,0.2476,,292.13
390,0.050728,0.9804,16.977371,0.2487,,296.13
395,0.049039,0.9807,16.994492,0.2498,,300.01
400,0.047353,0.9812,16.998091,0.2501,,304.09
405,0.045519,0.9825,17.002661,0.2515,,308.18
410,0.044421,0.9828,17.011801,0.2510,,311.97
415,0.043606,0.9825,17.010914,0.2505,,315.71
420,0.042662,0.9825,17.012545,0.2508,,319.36
425,0.041805,0.9833,17.015421,0.2505,,323.00
430,0.040426,0.9841,17.013203,0.2500,,326.85
435,0.039264,0.9836,17.015133,0.2511,,330.57
440,0.038255,0.9849,17.013252,0.2517,,334.31
445,0.037025,0.9859,17.024237,0.2513,,338.04
450,0.035688,0.9862,17.049187,0.2520,,341.77
455,0.035167,0.9864,17.074028,0.2524,,345.54
460,0.034272,0.9867,17.080362,0.2532,,349.29
465,0.033577,0.9867,17.088860,0.2535,,353.15
470,0.032564,0.9872,17.098562,0.2542,,357.01
475,0.032136,0.9875,17.107557,0.2548,,360.90
480,0.032953,0.9867,17.076296,0.2547,,364.65
485,0.030854,0.9885,17.052666,0.2548,,368.47
490,0.029515,0.9888,17.051826,0.2548,,372.34
495,0.028236,0.9896,17.047005,0.2553,,376.27
500,0.027000,0.9898,17.047089,0.2555,,380.12
505,0.025274,0.9906,17.056776,0.2551,,384.10
510,0.023973,0.9911,17.089256,0.2562,,388.12
515,0.023045,0.9911,17.125010,0.2562,,392.23
520,0.021831,0.9916,17.158350,0.2570,,396.20
525,0.020791,0.9927,17.199856,0.2576,,400.16
530,0.019939,0.9919,17.236172,0.2576,,404.01
535,0.021286,0.9911,17.271870,0.2586,,407.97
540,0.020119,0.9924,17.280016,0.2581,,411.87
545,0.019323,0.9922,17.277058,0.2584,,415.82
550,0.018492,0.9935,17.256182,0.2602,,419.66
555,0.017487,0.9935,17.225407,0.2595,,423.41
560,0.016849,0.9932,17.208366,0.2604,,427.11
565,0.016320,0.9937,17.189150,0.2601,,430.90
570,0.015779,0.9943,17.173588,0.2602,,434.24
575,0.015038,0.9948,17.174580,0.2604,,437.85
580,0.014398,0.9950,17.191317,0.2596,,441.51
585,0.013686,0.9950,17.213215,0.2608,,445.21
590,0.013183,0.9950,17.234985,0.2609,,448.76
595,0.012830,0.9950,17.263012,0.2616,,452.28
600,0.012423,0.9953,17.289970,0.2620,,455.81
605,0.012110,0.9953,17.319464,0.2630,,459.23
610,0.011507,0.9961,17.349941,0.2628,,462.96
615,0.010986,0.9963,17.379869,0.2632,,466.52
620,0.010263,0.9963,17.421185,0.2630,,470.47
625,0.009300,0.9969,17.466711,0.2629,,474.35
630,0.008413,0.9969,17.523958,0.2632,,478.09
635,0.007825,0.9971,17.587347,0.2640,,481.66
640,0.007329,0.9974,17.655788,0.2636,,485.42
645,0.006933,0.9977,17.718189,0.2639,,488.88
650,0.006592,0.9977,17.773743,0.2640,,492.56
655,0.006224,0.9979,17.822983,0.2640,,496.14
660,0.005814,0.9977,17.869026,0.2648,,499.64
665,0.005493,0.9982,17.916304,0.2647,,503.21
670,0.005128,0.9982,17.957533,0.2647,,506.67
675,0.004868,0.9982,17.991617,0.2659,,510.25
680,0.004598,0.9987,18.029036,0.2652,,513.86
685,0.004208,0.9987,18.075439,0.2655,,517.60
690,0.004009,0.9987,18.114201,0.2658,,521.04
695,0.003897,0.9987,18.150597,0.2666,,524.49
700,0.003775,0.9987,18.189476,0.2668,,527.98
705,0.003700,0.9987,18.223948,0.2664,,531.51
710,0.003646,0.9987,18.251423,0.2665,,535.44
715,0.003581,0.9987,18.272732,0.2667,,539.07
720,0.003520,0.9987,18.293718,0.2664,,542.72
725,0.003394,0.9990,18.320049,0.2667,,546.29
730,0.003102,0.9990,18.340906,0.2676,,549.92
735,0.002972,0.9990,18.365566,0.2668,,553.75
740,0.002908,0.9990,18.404154,0.2667,,557.23
745,0.002816,0.9990,18.443468,0.2668,,560.98
750,0.002702,0.9992,18.475334,0.2668,,564.63
755,0.002503,0.9992,18.510866,0.2670,,568.21
760,0.002386,0.9995,18.543919,0.2667,,571.60
765,0.001997,0.9995,18.580233,0.2667,,575.22
770,0.001869,0.9995,18.632978,0.2669,,578.95
775,0.001781,0.9995,18.678129,0.2671,,582.49
780,0.001722,0.9995,18.729971,0.2670,,585.94
785,0.001639,0.9995,18.783073,0.2673,,589.56
790,0.001615,0.9995,18.827929,0.2675,,593.36
795,0.001553,0.9995,18.866205,0.2671,,597.09
800,0.001594,0.9995,18.900530,0.2675,,600.68
805,0.001516,0.9995,18.926792,0.2674,,604.36
810,0.001478,0.9995,18.949244,0.2676,,608.14
815,0.001439,0.9995,18.976919,0.2677,,611.63
820,0.001417,0.9995,19.008965,0.2676,,615.25
825,0.001437,0.9995,19.047831,0.2677,,618.92
830,0.001364,0.9995,19.081011,0.2678,,622.64
835,0.001356,0.9995,19.116268,0.2678,,626.52
840,0.001347,0.9995,19.155630,0.2677,,630.13
845,0.001317,0.9995,19.199108,0.2679,,633.68
850,0.001298,0.9995,19.240681,0.2679,,637.28
855,0.001262,0.9995,19.283634,0.2677,,640.94
860,0.001231,0.9995,19.328808,0.2675,,644.45
865,0.001227,0.9995,19.382650,0.2676,,648.06
870,0.002013,0.9992,19.431641,0.2680,,651.64
875,0.002229,0.9997,19.330614,0.2656,,655.51
880,0.001859,0.9997,19.156012,0.2678,,659.25
885,0.001643,0.9997,19.049973,0.2682,,662.71
890,0.001438,0.9997,18.941040,0.2683,,666.16
895,0.001283,0.9997,18.863911,0.2685,,669.85
900,0.001202,0.9997,18.778288,0.2680,,673.50
905,0.001148,0.9997,18.701265,0.2694,,677.10
910,0.001119,0.9997,18.628450,0.2693,,680.84
915,0.001104,0.9997,18.557087,0.2696,,684.48
920,0.001098,0.9997,18.491894,0.2692,,688.27
925,0.001096,0.9997,18.433437,0.2692,,691.86
930,0.001092,0.9997,18.387411,0.2694,,695.65
935,0.001087,0.9997,18.359722,0.2697,,699.30
940,0.001096,0.9997,18.345354,0.2702,,703.16
945,0.001062,0.9997,18.341068,0.2703,,707.03
950,0.001062,0.9997,18.349274,0.2703,,710.82
955,0.001029,0.9997,18.370092,0.2703,,714.63
960,0.001019,0.9997,18.398708,0.2708,,718.46
965,0.000989,0.9997,18.434649,0.2708,,722.61
970,0.000959,0.9997,18.476755,0.2708,,726.96
975,0.000938,0.9997,18.524931,0.2712,,731.07
980,0.000920,0.9997,18.574717,0.2711,,735.06
985,0.000882,0.9997,18.627058,0.2707,,738.72
990,0.000873,0.9997,18.680552,0.2708,,742.43
995,0.000741,1.0000,18.731787,0.2708,,746.14
1000,0.000539,1.0000,18.793285,0.2706,,749.79
1005,0.000491,1.0000,18.877975,0.2707,,753.52
1010,0.000451,1.0000,18.968048,0.2705,,757.12
1015,0.000416,1.0000,19.052994,0.2712,,760.76
1020,0.000387,1.0000,19.129856,0.2716,,764.18
1025,0.000363,1.0000,19.199480,0.2713,,767.77
1030,0.000343,1.0000,19.261257,0.2718,,771.28
1035,0.000326,1.0000,19.316559,0.2718,,775.36
1040,0.000311,1.0000,19.368395,0.2721,,779.22
1045,0.000297,1.0000,19.420866,0.2726,,782.92
1050,0.000285,1.0000,19.474131,0.2724,,786.47
1055,0.000272,1.0000,19.527588,0.2726,,790.06
1060,0.000261,1.0000,19.582554,0.2727,,793.55
1065,0.000249,1.0000,19.641087,0.2727,,797.15
1070,0.000238,1.0000,19.701839,0.2725,,800.91
