epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,4.913928,0.0091,4.829055,0.0092,,0.77
5,4.712999,0.0141,4.764406,0.0068,,3.12
10,4.671581,0.0178,4.785417,0.0055,,5.43
15,4.618743,0.0290,4.813351,0.0048,,7.71
20,4.553185,0.0399,4.854702,0.0044,,10.01
25,4.469037,0.0556,4.922138,0.0053,,12.29
30,4.364922,0.0697,5.027387,0.0046,,14.58
35,4.241741,0.0877,5.162756,0.0050,,16.83
40,4.098348,0.1123,5.321016,0.0064,,19.15
45,3.936375,0.1347,5.498459,0.0082,,21.41
50,3.756844,0.1642,5.693593,0.0112,,23.73
55,3.560806,0.2055,5.905004,0.0138,,25.99
60,3.348268,0.2488,6.131173,0.0192,,28.26
65,3.119961,0.2977,6.377839,0.0268,,30.55
70,2.877719,0.3436,6.658799,0.0357,,32.81
75,2.620995,0.3969,6.971650,0.0489,,35.11
80,2.350739,0.4538,7.322213,0.0640,,37.36
85,2.066064,0.5185,7.719630,0.0841,,39.68
90,1.771212,0.5846,8.179866,0.1052,,41.98
95,1.470336,0.6689,8.714125,0.1335,,44.31
100,1.173853,0.7525,9.330256,0.1614,,46.64
105,0.894063,0.8321,10.046494,0.1914,,48.92
110,0.647311,0.8974,10.866139,0.2118,,51.24
115,0.447593,0.9446,11.784140,0.2281,,53.54
120,0.303586,0.9598,12.753570,0.2349,,55.86
125,0.211943,0.9681,13.718400,0.2377,,58.17
130,0.158794,0.9695,14.593082,0.2391,,60.50
135,0.128380,0.9710,15.310943,0.2396,,62.77
140,0.110125,0.9721,15.857503,0.2402,,65.07
145,0.098173,0.9747,16.244755,0.2410,,67.40
150,0.090076,0.9752,16.502371,0.2407,,69.75
155,0.083793,0.9762,16.665564,0.2412,,72.01
160,0.079120,0.9768,16.761602,0.2420,,74.31
165,0.075434,0.9770,16.815041,0.2416,,76.62
170,0.072317,0.9775,16.838461,0.2428,,79.02
175,0.070246,0.9783,16.831129,0.2432,,81.31
180,0.068239,0.9783,16.802998,0.2433,,83.63
185,0.066208,0.9786,16.773441,0.2440,,86.01
190,0.064082,0.9799,16.742815,0.2441,,88.36
195,0.061543,0.9807,16.713625,0.2453,,90.59
200,0.059110,0.9817,16.689816,0.2452,,92.94
205,0.056632,0.9820,16.662493,0.2454,,95.28
210,0.054941,0.9820,16.630348,0.2459,,97.60
215,0.053340,0.9828,16.609577,0.2462,,99.91
220,0.051991,0.9833,16.593916,0.2466,,102.26
225,0.050572,0.9833,16.590940,0.2466,,104.59
230,0.049060,0.9836,16.587730,0.2475,,106.89
235,0.047459,0.9836,16.591042,0.2483,,109.22
240,0.045530,0.9851,16.604116,0.2495,,111.53
245,0.043915,0.9854,16.602251,0.2492,,113.81
250,0.042461,0.9856,16.596239,0.2495,,116.14
255,0.041300,0.9859,16.594769,0.2500,,118.46
260,0.040338,0.9859,16.600677,0.2498,,120.76
265,0.039468,0.9862,16.605972,0.2500,,123.05
270,0.038959,0.9864,16.595760,0.2500,,125.78
275,0.038592,0.9867,16.570240,0.2505,,128.20
280,0.037787,0.9864,16.533142,0.2505,,130.54
285,0.036413,0.9877,16.490261,0.2506,,132.88
290,0.034740,0.9883,16.464682,0.2515,,135.24
295,0.033664,0.9880,16.450628,0.2525,,137.56
300,0.032402,0.9890,16.447653,0.2527,,139.88
305,0.030903,0.9890,16.455696,0.2523,,142.26
310,0.029622,0.9901,16.482964,0.2534,,144.66
315,0.028446,0.9903,16.513485,0.2538,,147.03
320,0.027240,0.9903,16.551947,0.2538,,149.34
325,0.025818,0.9911,16.589304,0.2539,,151.63
330,0.024828,0.9911,16.633532,0.2539,,153.93
335,0.024252,0.9916,16.667883,0.2550,,156.22
340,0.023407,0.9919,16.697800,0.2555,,158.52
345,0.022488,0.9922,16.712137,0.2562,,160.82
350,0.021610,0.9916,16.717131,0.2553,,163.12
355,0.021658,0.9927,16.694305,0.2556,,165.46
360,0.019981,0.9932,16.665762,0.2563,,167.74
365,0.019421,0.9932,16.629829,0.2552,,170.05
370,0.018646,0.9935,16.600889,0.2560,,172.34
375,0.017941,0.9935,16.577505,0.2562,,174.66
380,0.017298,0.9937,16.553560,0.2562,,176.95
385,0.016910,0.9937,16.536749,0.2562,,179.30
390,0.016673,0.9937,16.534929,0.2564,,181.62
395,0.016437,0.9937,16.533840,0.2572,,183.91
400,0.016237,0.9937,16.542339,0.2577,,186.20
405,0.016027,0.9943,16.556435,0.2575,,188.55
410,0.015782,0.9937,16.575186,0.2581,,190.88
415,0.015580,0.9940,16.595982,0.2583,,193.19
420,0.015118,0.9943,16.616117,0.2586,,195.51
425,0.014964,0.9943,16.636471,0.2589,,197.82
430,0.014774,0.9943,16.653740,0.2589,,200.15
435,0.014552,0.9945,16.678854,0.2584,,202.47
440,0.014151,0.9945,16.698299,0.2580,,204.78
445,0.013859,0.9948,16.726706,0.2591,,207.09
450,0.013563,0.9943,16.734785,0.2581,,209.39
455,0.014465,0.9950,16.727030,0.2589,,211.70
460,0.016794,0.9948,16.699013,0.2602,,214.00
465,0.014293,0.9953,16.641605,0.2592,,216.36
470,0.013362,0.9953,16.582890,0.2600,,218.65
