epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,5.082640,0.0091,4.855946,0.0082,,1.11
5,4.737571,0.0110,4.782032,0.0067,,4.79
10,4.703490,0.0175,4.774157,0.0070,,8.23
15,4.675454,0.0193,4.782645,0.0047,,11.72
20,4.641393,0.0277,4.795699,0.0048,,15.16
25,4.598407,0.0358,4.814624,0.0049,,18.42
30,4.542835,0.0439,4.844149,0.0055,,21.84
35,4.470208,0.0533,4.899099,0.0051,,25.04
40,4.379229,0.0655,4.986881,0.0055,,28.51
45,4.271590,0.0825,5.107532,0.0065,,31.84
50,4.146873,0.1052,5.243330,0.0073,,35.06
55,4.005762,0.1248,5.389898,0.0091,,38.25
60,3.849967,0.1548,5.551341,0.0115,,41.43
65,3.680962,0.1859,5.732693,0.0135,,44.68
70,3.502385,0.2084,5.930647,0.0177,,47.98
75,3.321631,0.2402,6.119279,0.0204,,51.21
80,3.135001,0.2713,6.320535,0.0228,,54.65
85,2.946339,0.3112,6.526146,0.0280,,58.02
90,2.752795,0.3418,6.740447,0.0340,,61.58
95,2.554642,0.3841,6.975451,0.0424,,64.84
100,2.350804,0.4292,7.236576,0.0525,,68.11
105,2.146235,0.4773,7.497633,0.0642,,71.29
110,1.939994,0.5305,7.786517,0.0766,,74.54
115,1.730656,0.5875,8.101013,0.0896,,77.81
120,1.514169,0.6428,8.472521,0.1055,,80.97
125,1.299896,0.7023,8.885588,0.1218,,84.27
130,1.097286,0.7702,9.321413,0.1380,,87.54
135,0.916216,0.8258,9.787384,0.1558,,90.79
140,0.748527,0.8713,10.297707,0.1714,,94.12
145,0.604318,0.9039,10.836061,0.1860,,97.37
150,0.484335,0.9222,11.408166,0.1988,,100.69
155,0.390318,0.9334,11.985164,0.2065,,103.97
160,0.319943,0.9392,12.551414,0.2140,,107.43
165,0.269447,0.9420,13.074324,0.2203,,110.60
170,0.233755,0.9426,13.545785,0.2232,,114.20
175,0.208509,0.9431,13.951373,0.2244,,117.69
180,0.190087,0.9462,14.285477,0.2256,,121.10
185,0.176449,0.9480,14.557619,0.2263,,124.77
190,0.165988,0.9488,14.775284,0.2254,,128.33
195,0.157232,0.9501,14.952741,0.2261,,131.72
200,0.150515,0.9520,15.094755,0.2258,,135.14
205,0.143755,0.9530,15.209415,0.2255,,138.64
210,0.137574,0.9554,15.304819,0.2253,,141.96
215,0.134339,0.9574,15.388778,0.2250,,145.29
220,0.129208,0.9569,15.434937,0.2255,,148.61
225,0.124349,0.9590,15.470989,0.2263,,151.90
230,0.120057,0.9585,15.502938,0.2255,,155.20
235,0.116235,0.9595,15.530941,0.2255,,158.61
240,0.112759,0.9595,15.562177,0.2258,,161.99
245,0.109753,0.9614,15.602164,0.2254,,165.40
250,0.106851,0.9621,15.640665,0.2241,,168.69
255,0.104630,0.9634,15.655864,0.2242,,171.96
260,0.100814,0.9634,15.659801,0.2241,,175.58
265,0.098007,0.9655,15.661530,0.2249,,178.92
270,0.095448,0.9653,15.664423,0.2253,,182.12
275,0.092901,0.9655,15.664340,0.2250,,185.35
280,0.091498,0.9663,15.676497,0.2246,,188.68
285,0.089267,0.9658,15.685787,0.2232,,192.12
290,0.087229,0.9666,15.696521,0.2247,,195.59
295,0.084864,0.9668,15.711247,0.2256,,198.75
300,0.083477,0.9681,15.742886,0.2249,,201.85
305,0.081034,0.9681,15.752774,0.2256,,205.01
310,0.078920,0.9705,15.774242,0.2258,,208.23
315,0.076773,0.9708,15.774555,0.2260,,211.86
320,0.074714,0.9713,15.772813,0.2254,,215.57
325,0.072098,0.9723,15.774173,0.2259,,219.06
330,0.070161,0.9728,15.777384,0.2259,,222.66
335,0.068140,0.9731,15.790678,0.2265,,226.34
340,0.066453,0.9736,15.815636,0.2266,,229.57
345,0.064508,0.9749,15.844191,0.2265,,233.19
350,0.063081,0.9744,15.870242,0.2259,,236.56
355,0.061952,0.9742,15.884093,0.2264,,240.02
360,0.061091,0.9755,15.874803,0.2271,,243.95
365,0.059863,0.9752,15.865547,0.2268,,247.50
370,0.058059,0.9765,15.852780,0.2264,,250.92
375,0.056588,0.9773,15.836963,0.2271,,254.49
380,0.054904,0.9778,15.833120,0.2272,,257.93
385,0.053476,0.9786,15.838346,0.2274,,261.19
390,0.052472,0.9794,15.847152,0.2278,,264.54
395,0.051261,0.9789,15.857520,0.2280,,267.77
400,0.050444,0.9796,15.864058,0.2281,,271.06
405,0.049077,0.9804,15.870282,0.2291,,274.20
410,0.047172,0.9809,15.879749,0.2292,,277.80
415,0.046757,0.9817,15.895723,0.2294,,281.44
420,0.044196,0.9822,15.906537,0.2284,,285.23
425,0.042872,0.9825,15.923630,0.2294,,288.62
430,0.041636,0.9833,15.951760,0.2283,,292.07
435,0.040669,0.9828,15.970040,0.2285,,295.82
440,0.039818,0.9836,16.007084,0.2294,,299.26
445,0.038880,0.9841,16.041988,0.2292,,302.92
450,0.037706,0.9851,16.066164,0.2284,,306.42
