epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,4.954108,0.0084,4.821309,0.0089,,0.98
5,4.723368,0.0091,4.777122,0.0078,,4.00
10,4.687057,0.0188,4.787244,0.0053,,6.94
15,4.645717,0.0292,4.801002,0.0050,,9.86
20,4.592602,0.0415,4.823094,0.0050,,13.19
25,4.524111,0.0491,4.864516,0.0047,,16.52
30,4.435888,0.0603,4.932211,0.0050,,19.88
35,4.324990,0.0731,5.043056,0.0054,,22.96
40,4.193832,0.0869,5.195561,0.0059,,26.21
45,4.043424,0.1117,5.372088,0.0075,,29.29
50,3.875217,0.1475,5.557408,0.0093,,32.49
55,3.690533,0.1812,5.753752,0.0112,,35.45
60,3.490226,0.2089,5.961466,0.0154,,38.51
65,3.279738,0.2606,6.182931,0.0204,,41.54
70,3.076874,0.2956,6.383038,0.0257,,44.58
75,2.876785,0.3290,6.599499,0.0301,,47.92
80,2.671023,0.3705,6.834772,0.0374,,50.98
85,2.457857,0.4167,7.089587,0.0462,,54.09
90,2.244926,0.4561,7.367666,0.0604,,57.15
95,2.034156,0.5018,7.650569,0.0743,,60.33
100,1.824461,0.5632,7.958347,0.0895,,63.33
105,1.611921,0.6128,8.294489,0.1068,,66.52
110,1.397437,0.6786,8.683127,0.1252,,69.84
115,1.189161,0.7389,9.113155,0.1485,,72.92
120,0.990181,0.8057,9.571414,0.1679,,76.15
125,0.808769,0.8535,10.081946,0.1865,,79.17
130,0.646448,0.8945,10.642084,0.2027,,82.19
135,0.508373,0.9243,11.247459,0.2181,,85.03
140,0.399015,0.9363,11.881030,0.2316,,88.05
145,0.317961,0.9460,12.509089,0.2401,,91.05
150,0.261248,0.9496,13.100768,0.2452,,94.11
155,0.222170,0.9514,13.632060,0.2478,,97.20
160,0.195213,0.9538,14.087098,0.2495,,100.32
165,0.176359,0.9559,14.460535,0.2499,,103.59
170,0.162531,0.9559,14.757694,0.2513,,106.75
175,0.151689,0.9567,14.986088,0.2524,,109.86
180,0.143583,0.9601,15.170880,0.2526,,113.04
185,0.135596,0.9608,15.293036,0.2536,,116.29
190,0.129368,0.9614,15.383263,0.2539,,119.48
195,0.124035,0.9619,15.451465,0.2541,,122.37
200,0.119570,0.9637,15.502057,0.2541,,125.21
205,0.115834,0.9640,15.535235,0.2543,,128.23
210,0.111467,0.9648,15.560135,0.2541,,131.57
215,0.107777,0.9653,15.593706,0.2538,,134.84
220,0.104206,0.9668,15.622376,0.2532,,138.06
225,0.101111,0.9676,15.649270,0.2529,,141.39
230,0.098064,0.9681,15.685124,0.2525,,144.74
235,0.095567,0.9687,15.715961,0.2524,,148.17
240,0.092962,0.9692,15.746592,0.2525,,151.33
245,0.090459,0.9695,15.772110,0.2516,,154.61
250,0.088567,0.9692,15.799450,0.2508,,157.94
255,0.087762,0.9708,15.807919,0.2508,,161.26
260,0.086019,0.9708,15.809436,0.2514,,164.72
265,0.083231,0.9708,15.818691,0.2505,,167.92
270,0.081683,0.9715,15.802166,0.2501,,171.09
275,0.079712,0.9723,15.803066,0.2492,,174.42
280,0.078051,0.9728,15.804978,0.2492,,177.80
285,0.076540,0.9734,15.815990,0.2489,,181.04
290,0.074957,0.9739,15.821516,0.2499,,184.14
295,0.073574,0.9731,15.838342,0.2503,,187.43
300,0.073072,0.9736,15.859178,0.2496,,190.67
305,0.072081,0.9736,15.858115,0.2494,,194.02
310,0.071015,0.9744,15.839555,0.2492,,197.31
315,0.069993,0.9747,15.807861,0.2499,,200.48
320,0.069962,0.9744,15.765326,0.2498,,203.69
325,0.067896,0.9755,15.719753,0.2506,,206.86
330,0.067038,0.9752,15.681538,0.2494,,210.20
335,0.066069,0.9755,15.657596,0.2491,,213.33
340,0.065181,0.9755,15.637691,0.2496,,216.68
345,0.064250,0.9755,15.629984,0.2491,,219.84
350,0.063351,0.9760,15.634512,0.2497,,223.13
355,0.062692,0.9757,15.642243,0.2494,,226.43
360,0.062483,0.9762,15.666972,0.2498,,229.74
365,0.061172,0.9770,15.680202,0.2492,,232.86
370,0.060221,0.9781,15.697860,0.2492,,236.05
375,0.058932,0.9775,15.723317,0.2491,,239.24
380,0.057792,0.9781,15.756911,0.2499,,242.52
385,0.056883,0.9781,15.795714,0.2505,,245.74
390,0.055758,0.9789,15.823208,0.2505,,249.12
395,0.055403,0.9791,15.842161,0.2508,,252.34
400,0.054418,0.9791,15.861172,0.2513,,255.39
405,0.055186,0.9786,15.867031,0.2504,,258.59
410,0.054002,0.9794,15.880392,0.2506,,261.82
415,0.053179,0.9794,15.892480,0.2515,,265.08
420,0.052625,0.9799,15.912416,0.2518,,268.36
425,0.051509,0.9804,15.917843,0.2523,,271.62
430,0.051240,0.9802,15.922809,0.2522,,274.82
435,0.050568,0.9802,15.913577,0.2538,,278.07
440,0.050139,0.9807,15.913795,0.2522,,281.40
445,0.049643,0.9807,15.901036,0.2522,,284.67
450,0.049051,0.9807,15.900537,0.2532,,288.15
455,0.048812,0.9812,15.901696,0.2524,,291.29
460,0.047887,0.9812,15.910636,0.2527,,294.75
465,0.047497,0.9815,15.917352,0.2525,,298.04
470,0.047296,0.9822,15.928419,0.2529,,301.14
475,0.046156,0.9822,15.935429,0.2535,,304.45
480,0.045797,0.9822,15.951872,0.2529,,307.79
485,0.045111,0.9825,15.955544,0.2529,,311.04
490,0.044710,0.9825,15.956656,0.2525,,314.26
495,0.043750,0.9833,15.932915,0.2524,,317.53
500,0.043330,0.9830,15.901274,0.2532,,320.82
505,0.042450,0.9838,15.893523,0.2548,,323.99
510,0.041167,0.9846,15.878188,0.2545,,327.16
515,0.040174,0.9854,15.875414,0.2562,,330.36
520,0.038683,0.9854,15.877260,0.2564,,333.62
525,0.036822,0.9869,15.883152,0.2563,,336.87
530,0.035404,0.9862,15.892346,0.2554,,340.12
535,0.034248,0.9867,15.929842,0.2551,,343.40
540,0.033348,0.9869,15.976830,0.2556,,346.62
545,0.032385,0.9872,16.031715,0.2554,,350.01
550,0.031679,0.9877,16.095438,0.2563,,353.21
555,0.031038,0.9875,16.141253,0.2560,,356.38
560,0.030293,0.9885,16.171093,0.2567,,359.63
565,0.029420,0.9885,16.200594,0.2572,,362.80
570,0.029000,0.9888,16.222946,0.2590,,365.98
575,0.028599,0.9888,16.255854,0.2593,,369.43
580,0.027525,0.9893,16.261265,0.2590,,372.74
585,0.027072,0.9901,16.272053,0.2584,,375.96
590,0.025895,0.9896,16.271524,0.2586,,379.17
595,0.024686,0.9909,16.278629,0.2584,,382.32
600,0.023543,0.9911,16.294573,0.2584,,385.59
605,0.022290,0.9914,16.328623,0.2579,,388.84
610,0.021306,0.9919,16.355480,0.2583,,391.95
615,0.020086,0.9927,16.390907,0.2585,,395.16
620,0.019002,0.9922,16.432144,0.2589,,398.30
625,0.017852,0.9927,16.480436,0.2596,,401.48
630,0.017045,0.9932,16.540064,0.2595,,404.68
635,0.016665,0.9930,16.601225,0.2598,,407.86
640,0.016137,0.9932,16.657495,0.2596,,410.96
645,0.015776,0.9935,16.698107,0.2607,,414.35
650,0.015602,0.9935,16.739710,0.2609,,417.73
655,0.015166,0.9935,16.754541,0.2605,,421.11
660,0.015282,0.9932,16.761845,0.2604,,424.32
665,0.014946,0.9937,16.759777,0.2614,,427.58
670,0.014917,0.9937,16.758734,0.2609,,430.81
675,0.015203,0.9937,16.751560,0.2592,,434.05
680,0.014724,0.9940,16.729856,0.2593,,437.27
685,0.014211,0.9940,16.727020,0.2592,,440.39
690,0.013616,0.9937,16.732199,0.2590,,443.67
695,0.013225,0.9943,16.754715,0.2600,,446.91
700,0.013052,0.9945,16.768093,0.2607,,450.25
705,0.012911,0.9943,16.787952,0.2600,,453.42
710,0.012709,0.9943,16.808672,0.2609,,456.55
715,0.012618,0.9943,16.803013,0.2608,,459.67
720,0.012385,0.9945,16.805822,0.2596,,462.81
725,0.012167,0.9945,16.797588,0.2616,,466.07
730,0.012045,0.9945,16.814079,0.2611,,469.31
735,0.011882,0.9945,16.819931,0.2613,,472.47
740,0.011757,0.9945,16.831211,0.2614,,475.61
745,0.011735,0.9945,16.848806,0.2611,,478.95
750,0.011730,0.9945,16.865068,0.2614,,482.34
755,0.014275,0.9940,16.894257,0.2588,,485.70
760,0.013885,0.9945,16.825558,0.2579,,489.02
765,0.015466,0.9945,16.700190,0.2562,,492.22
770,0.014079,0.9945,16.602400,0.2583,,495.55
775,0.013252,0.9945,16.526224,0.2594,,498.77
780,0.012715,0.9945,16.444324,0.2607,,501.99
785,0.012394,0.9945,16.384541,0.2614,,505.02
790,0.012188,0.9948,16.333900,0.2618,,508.31
795,0.012014,0.9948,16.290258,0.2620,,511.54
800,0.011853,0.9950,16.250046,0.2619,,515.05
805,0.011758,0.9948,16.217691,0.2622,,518.29
810,0.011634,0.9950,16.204212,0.2627,,521.44
815,0.011409,0.9948,16.209103,0.2620,,524.68
820,0.011209,0.9953,16.225969,0.2627,,527.93
825,0.011184,0.9950,16.251213,0.2622,,531.18
830,0.011025,0.9950,16.273304,0.2622,,534.36
835,0.011351,0.9953,16.298286,0.2623,,537.75
840,0.010799,0.9958,16.301798,0.2616,,540.96
845,0.010071,0.9958,16.295412,0.2631,,544.12
850,0.009676,0.9958,16.302158,0.2610,,547.35
855,0.009354,0.9958,16.316658,0.2613,,550.63
860,0.008832,0.9963,16.342861,0.2617,,553.97
865,0.008500,0.9963,16.374765,0.2624,,557.28
870,0.008331,0.9963,16.417261,0.2624,,560.60
875,0.008254,0.9963,16.460184,0.2622,,563.77
880,0.008075,0.9966,16.502714,0.2629,,566.91
885,0.007979,0.9963,16.541737,0.2622,,570.16
890,0.007937,0.9966,16.576670,0.2626,,573.54
895,0.007728,0.9969,16.608597,0.2632,,576.79
900,0.007417,0.9969,16.649002,0.2628,,579.99
905,0.007194,0.9971,16.714285,0.2617,,583.21
910,0.006530,0.9974,16.752197,0.2622,,586.54
915,0.006157,0.9974,16.797394,0.2624,,590.01
920,0.005911,0.9974,16.844980,0.2620,,593.24
925,0.005745,0.9977,16.903961,0.2624,,596.59
930,0.005668,0.9974,16.960655,0.2619,,600.06
935,0.006212,0.9977,17.017183,0.2604,,603.43
940,0.005803,0.9979,17.028038,0.2595,,606.80
945,0.005520,0.9979,17.040464,0.2624,,610.24
950,0.005202,0.9979,17.088116,0.2622,,613.58
955,0.004871,0.9979,17.107862,0.2620,,616.90
960,0.004743,0.9979,17.127508,0.2632,,620.40
965,0.004672,0.9979,17.163811,0.2623,,623.61
970,0.004544,0.9982,17.162434,0.2620,,626.78
975,0.004571,0.9982,17.181328,0.2618,,630.03
980,0.004346,0.9982,17.194067,0.2616,,633.32
985,0.004250,0.9982,17.200624,0.2621,,636.50
990,0.004157,0.9982,17.213272,0.2622,,639.89
995,0.004090,0.9982,17.236454,0.2623,,643.21
1000,0.004046,0.9982,17.260172,0.2624,,646.40
1005,0.003837,0.9984,17.290230,0.2621,,649.94
1010,0.003623,0.9990,17.338234,0.2614,,653.18
1015,0.007020,0.9984,17.362705,0.2577,,656.58
1020,0.008598,0.9974,17.191786,0.2544,,660.16
1025,0.006676,0.9984,17.033192,0.2543,,663.37
1030,0.005712,0.9984,16.881771,0.2561,,666.57
1035,0.005138,0.9984,16.787062,0.2575,,670.09
1040,0.004731,0.9984,16.671549,0.2595,,673.53
1045,0.004520,0.9984,16.559345,0.2599,,677.02
1050,0.004431,0.9987,16.468853,0.2605,,680.35
1055,0.004357,0.9987,16.386677,0.2609,,683.47
1060,0.004298,0.9990,16.315924,0.2603,,686.89
1065,0.004231,0.9990,16.255117,0.2609,,690.10
1070,0.004175,0.9990,16.196922,0.2612,,693.39
1075,0.004093,0.9992,16.164297,0.2610,,696.63
1080,0.003945,0.9997,16.148674,0.2616,,699.99
1085,0.003752,0.9995,16.152411,0.2614,,703.47
1090,0.003350,0.9995,16.180105,0.2602,,706.62
1095,0.003131,0.9995,16.227409,0.2607,,709.88
1100,0.002952,0.9995,16.276871,0.2613,,713.10
1105,0.002805,0.9995,16.338503,0.2616,,716.33
1110,0.002675,0.9995,16.403259,0.2616,,719.41
1115,0.002601,0.9995,16.465881,0.2617,,722.69
1120,0.002471,0.9995,16.513563,0.2613,,725.97
1125,0.002399,0.9995,16.561775,0.2613,,729.17
1130,0.002334,0.9995,16.607939,0.2611,,732.38
1135,0.002285,0.9995,16.654749,0.2613,,735.73
1140,0.002212,0.9995,16.702078,0.2612,,739.11
1145,0.002153,0.9995,16.752085,0.2612,,742.55
1150,0.002080,0.9995,16.803967,0.2608,,745.82
1155,0.002073,0.9995,16.855518,0.2609,,749.18
1160,0.001994,0.9995,16.904837,0.2610,,752.43
1165,0.001964,0.9995,16.952332,0.2609,,755.76
1170,0.001921,0.9995,17.000854,0.2610,,759.21
1175,0.001863,0.9995,17.048506,0.2609,,762.53
1180,0.001817,0.9995,17.100386,0.2610,,765.94
1185,0.001835,0.9995,17.158052,0.2614,,769.28
1190,0.001728,0.9995,17.203642,0.2611,,772.62
1195,0.001691,0.9995,17.256781,0.2611,,776.05
1200,0.001637,0.9995,17.310911,0.2610,,779.31
1205,0.001646,0.9995,17.367731,0.2613,,782.56
1210,0.001613,0.9995,17.417534,0.2611,,785.89
1215,0.001521,0.9995,17.469976,0.2605,,789.30
1220,0.003464,0.9992,17.618721,0.2546,,792.53
1225,0.007419,0.9990,17.424500,0.2510,,795.80
1230,0.005482,0.9995,17.166908,0.2516,,799.12
1235,0.004537,0.9995,16.902693,0.2558,,802.50
1240,0.003595,0.9997,16.707386,0.2558,,805.80
1245,0.003063,0.9995,16.560884,0.2565,,809.20
1250,0.002781,0.9997,16.438015,0.2576,,812.52
1255,0.002434,1.0000,16.276058,0.2571,,815.81
1260,0.002222,1.0000,16.133635,0.2575,,819.20
1265,0.002114,1.0000,16.019468,0.2580,,822.45
1270,0.002071,1.0000,15.901528,0.2580,,825.85
1275,0.002081,1.0000,15.790495,0.2584,,829.23
1280,0.002104,1.0000,15.695307,0.2592,,832.48
1285,0.002128,1.0000,15.624922,0.2596,,835.70
1290,0.002141,1.0000,15.569693,0.2603,,838.94
1295,0.002140,1.0000,15.532398,0.2598,,842.27
1300,0.002124,1.0000,15.513608,0.2608,,845.35
1305,0.002091,1.0000,15.512110,0.2605,,848.60
1310,0.002043,1.0000,15.528020,0.2608,,852.05
1315,0.001982,1.0000,15.556239,0.2608,,855.38
1320,0.001913,1.0000,15.596050,0.2609,,858.52
1325,0.001838,1.0000,15.644940,0.2607,,861.88
1330,0.001760,1.0000,15.700393,0.2607,,865.06
1335,0.001681,1.0000,15.760617,0.2608,,868.47
1340,0.001602,1.0000,15.823755,0.2607,,871.91
1345,0.001526,1.0000,15.889672,0.2607,,875.34
1350,0.001452,1.0000,15.957360,0.2607,,878.75
1355,0.001381,1.0000,16.025156,0.2610,,882.02
1360,0.001314,1.0000,16.093887,0.2608,,885.28
1365,0.001249,1.0000,16.163130,0.2608,,888.68
1370,0.001189,1.0000,16.232265,0.2610,,891.85
1375,0.001131,1.0000,16.302067,0.2611,,895.04
1380,0.001076,1.0000,16.371769,0.2611,,898.31
1385,0.001024,1.0000,16.441648,0.2611,,901.56
1390,0.000974,1.0000,16.511507,0.2612,,904.71
1395,0.000927,1.0000,16.582659,0.2612,,907.90
1400,0.000882,1.0000,16.652819,0.2611,,911.09
1405,0.000838,1.0000,16.722832,0.2614,,914.30
1410,0.000797,1.0000,16.793943,0.2613,,917.70
1415,0.000758,1.0000,16.865372,0.2613,,920.98
1420,0.000721,1.0000,16.936123,0.2613,,924.18
1425,0.000686,1.0000,17.008480,0.2611,,927.52
1430,0.000652,1.0000,17.080320,0.2612,,930.98
1435,0.000620,1.0000,17.150900,0.2611,,934.50
1440,0.000589,1.0000,17.220795,0.2612,,937.71
1445,0.000560,1.0000,17.292213,0.2609,,940.90
1450,0.000533,1.0000,17.362755,0.2608,,944.15
1455,0.000507,1.0000,17.434340,0.2605,,947.41
1460,0.000481,1.0000,17.506855,0.2607,,950.81
1465,0.000458,1.0000,17.578733,0.2607,,954.10
1470,0.000435,1.0000,17.649460,0.2607,,957.53
1475,0.000413,1.0000,17.720659,0.2604,,960.82
1480,0.000393,1.0000,17.792568,0.2604,,964.20
1485,0.000374,1.0000,17.862154,0.2603,,967.46
1490,0.000355,1.0000,17.934137,0.2602,,970.66
1495,0.000338,1.0000,18.007702,0.2602,,973.93
1500,0.000321,1.0000,18.078562,0.2602,,977.24
1505,0.000305,1.0000,18.151617,0.2598,,980.49
1510,0.000290,1.0000,18.223242,0.2596,,983.83
1515,0.000275,1.0000,18.292326,0.2596,,987.13
1520,0.000262,1.0000,18.364271,0.2600,,990.42
1525,0.000249,1.0000,18.434687,0.2600,,993.73
1530,0.000236,1.0000,18.507864,0.2600,,997.02
1535,0.000225,1.0000,18.578667,0.2602,,1000.24
1540,0.000214,1.0000,18.652308,0.2600,,1003.51
1545,0.000203,1.0000,18.723698,0.2599,,1006.88
1550,0.000193,1.0000,18.795862,0.2599,,1010.35
1555,0.000183,1.0000,18.865507,0.2598,,1013.84
1560,0.000174,1.0000,18.935167,0.2599,,1017.34
1565,0.000166,1.0000,19.007227,0.2595,,1020.84
1570,0.000158,1.0000,19.077843,0.2596,,1024.07
1575,0.000150,1.0000,19.150530,0.2596,,1027.33
1580,0.000142,1.0000,19.222202,0.2596,,1030.59
1585,0.000135,1.0000,19.291794,0.2598,,1033.82
1590,0.000129,1.0000,19.364151,0.2596,,1037.20
1595,0.000122,1.0000,19.436731,0.2596,,1040.35
1600,0.000116,1.0000,19.507584,0.2596,,1043.89
1605,0.000111,1.0000,19.579454,0.2598,,1047.24
1610,0.000105,1.0000,19.649263,0.2595,,1050.51
1615,0.000100,1.0000,19.721119,0.2599,,1053.92
1620,0.000095,1.0000,19.789537,0.2591,,1057.12
1625,0.000090,1.0000,19.859993,0.2592,,1060.53
1630,0.000086,1.0000,19.933273,0.2590,,1063.87
1635,0.000082,1.0000,20.001265,0.2592,,1067.11
1640,0.000078,1.0000,20.073931,0.2595,,1070.40
1645,0.000074,1.0000,20.143173,0.2592,,1073.71
1650,0.000070,1.0000,20.213535,0.2596,,1076.89
1655,0.000067,1.0000,20.286882,0.2596,,1080.15
1660,0.000063,1.0000,20.355343,0.2592,,1083.48
1665,0.000060,1.0000,20.429228,0.2595,,1086.70
1670,0.000057,1.0000,20.497822,0.2593,,1090.12
1675,0.000055,1.0000,20.566830,0.2593,,1093.64
1680,0.000052,1.0000,20.639784,0.2591,,1097.06
1685,0.000049,1.0000,20.709272,0.2595,,1100.42
1690,0.000047,1.0000,20.777895,0.2598,,1103.70
1695,0.000045,1.0000,20.850956,0.2592,,1106.78
1700,0.000042,1.0000,20.918041,0.2592,,1110.04
1705,0.000040,1.0000,20.985744,0.2590,,1113.44
1710,0.000038,1.0000,21.056919,0.2591,,1116.71
1715,0.000037,1.0000,21.124271,0.2595,,1120.03
1720,0.000035,1.0000,21.193119,0.2595,,1123.29
1725,0.000033,1.0000,21.266512,0.2594,,1126.45
1730,0.000031,1.0000,21.336899,0.2595,,1129.86
1735,0.000030,1.0000,21.405855,0.2594,,1133.24
1740,0.000029,1.0000,21.473465,0.2592,,1136.63
1745,0.000027,1.0000,21.540815,0.2594,,1139.80
1750,0.000026,1.0000,21.610296,0.2594,,1143.17
1755,0.000025,1.0000,21.681431,0.2594,,1146.57
1760,0.000023,1.0000,21.748882,0.2592,,1149.80
1765,0.000022,1.0000,21.812571,0.2592,,1152.98
1770,0.000021,1.0000,21.882978,0.2590,,1156.22
1775,0.000020,1.0000,21.950350,0.2589,,1159.59
1780,0.000019,1.0000,22.016872,0.2595,,1162.85
1785,0.000018,1.0000,22.088554,0.2591,,1166.15
1790,0.000017,1.0000,22.153206,0.2593,,1169.35
1795,0.000017,1.0000,22.220203,0.2592,,1172.60
1800,0.000016,1.0000,22.290024,0.2588,,1175.80
1805,0.000015,1.0000,22.350014,0.2588,,1179.23
1810,0.000014,1.0000,22.415958,0.2589,,1182.50
1815,0.000014,1.0000,22.481953,0.2585,,1185.70
1820,0.000013,1.0000,22.546635,0.2585,,1189.26
1825,0.000012,1.0000,22.616001,0.2588,,1192.44
1830,0.000012,1.0000,22.678713,0.2584,,1195.83
1835,0.000011,1.0000,22.745373,0.2584,,1199.14
1840,0.000011,1.0000,22.808596,0.2588,,1202.49
1845,0.000010,1.0000,22.869768,0.2582,,1205.94
1850,0.000010,1.0000,22.935707,0.2585,,1209.30
1855,0.000009,1.0000,23.004715,0.2589,,1212.86
1860,0.000009,1.0000,23.066334,0.2588,,1216.13
1865,0.000009,1.0000,23.129719,0.2588,,1219.37
1870,0.000008,1.0000,23.196760,0.2592,,1222.45
1875,0.000008,1.0000,23.257114,0.2591,,1225.64
1880,0.000007,1.0000,23.313972,0.2586,,1228.89
1885,0.000007,1.0000,23.381128,0.2591,,1231.97
1890,0.000007,1.0000,23.439741,0.2583,,1235.05
1895,0.000006,1.0000,23.502872,0.2590,,1238.33
1900,0.000006,1.0000,23.562874,0.2584,,1241.60
1905,0.000006,1.0000,23.625551,0.2586,,1244.94
1910,0.000006,1.0000,23.679485,0.2586,,1248.23
1915,0.000005,1.0000,23.749798,0.2586,,1251.42
1920,0.000005,1.0000,23.803823,0.2588,,1254.69
1925,0.000005,1.0000,23.855309,0.2585,,1257.94
1930,0.000005,1.0000,23.913248,0.2584,,1261.16
1935,0.000004,1.0000,23.973709,0.2581,,1264.47
1940,0.000004,1.0000,24.029676,0.2581,,1267.66
1945,0.000004,1.0000,24.080406,0.2581,,1270.97
1950,0.000004,1.0000,24.138544,0.2585,,1274.25
1955,0.000004,1.0000,24.194986,0.2582,,1277.45
1960,0.000004,1.0000,24.248581,0.2582,,1280.67
1965,0.000003,1.0000,24.306625,0.2583,,1283.82
