epoch,train_loss,train_acc,val_loss,val_acc,ood_acc,seconds
0,4.910582,0.0097,4.811066,0.0095,,0.33
1,4.795406,0.0094,4.773026,0.0076,,0.64
2,4.744012,0.0123,4.769099,0.0078,,0.92
3,4.725771,0.0131,4.775495,0.0059,,1.18
4,4.718353,0.0136,4.779087,0.0058,,1.45
5,4.709680,0.0125,4.780872,0.0056,,1.73
6,4.700188,0.0185,4.783355,0.0067,,2.01
7,4.691512,0.0214,4.786604,0.0070,,2.28
8,4.683093,0.0217,4.790039,0.0062,,2.55
9,4.674208,0.0196,4.793550,0.0056,,2.88
10,4.664857,0.0188,4.797276,0.0054,,3.18
11,4.655080,0.0238,4.801314,0.0049,,3.46
12,4.644885,0.0258,4.805736,0.0056,,3.74
13,4.634255,0.0285,4.810579,0.0055,,4.01
14,4.623013,0.0295,4.815853,0.0047,,4.27
15,4.611144,0.0337,4.821618,0.0048,,4.53
16,4.598615,0.0397,4.827980,0.0051,,4.76
17,4.585442,0.0441,4.835108,0.0047,,5.02
18,4.571641,0.0444,4.843108,0.0048,,5.28
19,4.557205,0.0473,4.852104,0.0045,,5.56
20,4.542110,0.0470,4.862224,0.0047,,5.86
21,4.526339,0.0533,4.873553,0.0049,,6.14
22,4.509841,0.0546,4.886197,0.0053,,6.44
23,4.492561,0.0569,4.900186,0.0056,,6.71
24,4.474510,0.0590,4.915403,0.0057,,6.99
25,4.455700,0.0627,4.931850,0.0051,,7.26
26,4.436146,0.0658,4.949597,0.0051,,7.48
27,4.415802,0.0668,4.968750,0.0049,,7.71
28,4.394686,0.0689,4.989457,0.0050,,7.96
29,4.372829,0.0721,5.011710,0.0049,,8.26
30,4.350231,0.0728,5.035444,0.0050,,8.53
31,4.326872,0.0757,5.060505,0.0055,,8.81
32,4.302742,0.0794,5.086725,0.0055,,9.09
33,4.277846,0.0828,5.113915,0.0056,,9.34
34,4.252163,0.0856,5.141961,0.0054,,9.62
35,4.225672,0.0890,5.170808,0.0056,,9.90
36,4.198438,0.0927,5.200466,0.0062,,10.17
37,4.170479,0.0974,5.230838,0.0062,,10.44
38,4.141763,0.1003,5.261847,0.0066,,10.71
39,4.112203,0.1047,5.293520,0.0064,,11.00
40,4.081865,0.1089,5.325907,0.0064,,11.25
41,4.050798,0.1151,5.359053,0.0069,,11.50
42,4.018961,0.1217,5.392932,0.0083,,11.77
43,3.986351,0.1287,5.427422,0.0088,,12.03
44,3.953055,0.1394,5.462359,0.0094,,12.27
45,3.919089,0.1473,5.497731,0.0096,,12.55
46,3.884386,0.1554,5.533551,0.0104,,12.79
47,3.849011,0.1611,5.569813,0.0105,,13.07
48,3.812969,0.1671,5.606459,0.0110,,13.30
49,3.776269,0.1695,5.643188,0.0115,,13.57
50,3.738868,0.1757,5.680004,0.0126,,13.83
51,3.700758,0.1817,5.717016,0.0136,,14.06
52,3.661930,0.1843,5.754406,0.0135,,14.34
53,3.622440,0.1930,5.792240,0.0143,,14.61
54,3.582271,0.1987,5.830461,0.0144,,14.84
55,3.541431,0.2102,5.869341,0.0158,,15.11
56,3.500007,0.2180,5.909014,0.0164,,15.36
57,3.457983,0.2238,5.949562,0.0175,,15.59
58,3.415359,0.2332,5.991127,0.0190,,15.81
59,3.372158,0.2423,6.033562,0.0202,,16.04
60,3.328382,0.2512,6.076815,0.0214,,16.26
61,3.284004,0.2572,6.120736,0.0223,,16.53
62,3.239061,0.2650,6.165137,0.0238,,16.75
63,3.193496,0.2731,6.210111,0.0254,,17.02
64,3.147281,0.2807,6.255778,0.0264,,17.30
65,3.100483,0.2898,6.302536,0.0283,,17.53
66,3.053126,0.2990,6.350627,0.0300,,17.78
67,3.005135,0.3070,6.399674,0.0322,,18.05
68,2.956569,0.3178,6.449277,0.0347,,18.31
69,2.907390,0.3258,6.500219,0.0377,,18.55
70,2.857633,0.3376,6.552961,0.0394,,18.80
71,2.807214,0.3483,6.607230,0.0412,,19.08
72,2.756261,0.3564,6.663177,0.0439,,19.32
73,2.704811,0.3648,6.721027,0.0451,,19.60
74,2.652782,0.3749,6.780174,0.0478,,19.90
75,2.600156,0.3849,6.840375,0.0500,,20.20
76,2.546880,0.3966,6.902617,0.0537,,20.46
77,2.493028,0.4084,6.966951,0.0573,,20.75
78,2.438636,0.4211,7.034375,0.0604,,21.01
79,2.383736,0.4290,7.103446,0.0641,,21.25
80,2.328033,0.4379,7.175031,0.0677,,21.50
81,2.271785,0.4491,7.249178,0.0723,,21.73
82,2.215090,0.4634,7.326365,0.0762,,21.97
83,2.157670,0.4747,7.405163,0.0794,,22.20
84,2.099788,0.4862,7.486715,0.0843,,22.46
85,2.041483,0.5016,7.570800,0.0894,,22.72
86,1.982520,0.5193,7.656550,0.0954,,22.98
87,1.923118,0.5339,7.745502,0.0995,,23.24
88,1.863514,0.5475,7.837690,0.1052,,23.50
89,1.803850,0.5587,7.929919,0.1099,,23.72
90,1.744218,0.5807,8.026837,0.1148,,24.02
91,1.684462,0.5945,8.122597,0.1229,,24.28
92,1.624503,0.6125,8.226875,0.1273,,24.54
93,1.565164,0.6253,8.327715,0.1333,,24.78
94,1.506045,0.6407,8.439069,0.1384,,25.04
95,1.447062,0.6603,8.546347,0.1453,,25.32
96,1.388717,0.6778,8.662670,0.1508,,25.58
97,1.330561,0.6945,8.778585,0.1575,,25.85
98,1.272210,0.7136,8.901583,0.1655,,26.13
99,1.215076,0.7342,9.028285,0.1723,,26.41
100,1.158253,0.7543,9.156336,0.1800,,26.68
101,1.102193,0.7708,9.291810,0.1854,,26.98
102,1.046395,0.7898,9.429952,0.1928,,27.26
103,0.992166,0.8055,9.572336,0.1989,,27.49
104,0.938907,0.8219,9.719946,0.2055,,27.71
105,0.886524,0.8334,9.872265,0.2114,,27.96
106,0.835673,0.8478,10.025261,0.2166,,28.20
107,0.786028,0.8614,10.189140,0.2242,,28.48
108,0.738007,0.8728,10.353949,0.2305,,28.73
109,0.691718,0.8838,10.527530,0.2346,,29.01
110,0.647715,0.8969,10.699355,0.2403,,29.31
111,0.605780,0.9070,10.878818,0.2431,,29.59
112,0.565922,0.9151,11.049966,0.2486,,29.85
113,0.527878,0.9217,11.234123,0.2520,,30.18
114,0.491737,0.9282,11.414902,0.2562,,30.46
115,0.458244,0.9321,11.596973,0.2598,,30.73
116,0.427125,0.9394,11.786234,0.2619,,30.99
117,0.398022,0.9418,11.970469,0.2639,,31.25
118,0.371279,0.9449,12.156699,0.2657,,31.55
119,0.346432,0.9486,12.343932,0.2676,,31.81
120,0.323837,0.9488,12.530618,0.2688,,32.06
121,0.303174,0.9514,12.717649,0.2716,,32.34
122,0.284182,0.9517,12.901735,0.2721,,32.59
123,0.267076,0.9530,13.083887,0.2731,,32.84
124,0.251449,0.9535,13.265354,0.2739,,33.12
125,0.237351,0.9551,13.441441,0.2741,,33.39
126,0.224662,0.9556,13.615117,0.2749,,33.68
127,0.213197,0.9574,13.785944,0.2750,,33.96
128,0.202810,0.9585,13.948606,0.2754,,34.24
