run,done,p,op,frac,pe,layers,wd,seed,ext,ood,oodb,onset,censored,sharpness,max_slope,final_val_acc,last_epoch
p113_add_f0.3_alibi_L1_wd1.0_s0_ood,True,113,add,0.3,alibi,1,1.0,0,False,True,,,True,,201.00519978429114,0.2708,14999
p113_add_f0.3_alibi_L1_wd1.0_s0_x40,True,113,add,0.3,alibi,1,1.0,0,True,False,,15190.0,False,14430.0,231.5364414982301,1.0,16185
p113_add_f0.3_alibi_L1_wd1.0_s1,True,113,add,0.3,alibi,1,1.0,1,False,False,,7130.0,False,6235.0,115.01066454587499,0.9999,8125
p113_add_f0.3_alibi_L1_wd1.0_s1_ood,True,113,add,0.3,alibi,1,1.0,1,False,True,,11520.0,False,11115.0,107.34409762513071,0.9997,12515
p113_add_f0.3_alibi_L1_wd1.0_s2_x40,True,113,add,0.3,alibi,1,1.0,2,True,False,,14220.0,False,14125.0,273.3713038376098,0.9998,15215
p113_add_f0.3_alibi_L1_wd1.0_s3_x40,True,113,add,0.3,alibi,1,1.0,3,True,False,,16160.0,False,16075.0,186.26474071760637,0.9987,17155
p113_add_f0.3_alibi_L1_wd1.0_s4,True,113,add,0.3,alibi,1,1.0,4,False,False,,,True,,137.2150712935128,0.3562,14999
p113_add_f0.3_learned_L1_wd1.0_s0_ood,True,113,add,0.3,learned,1,1.0,0,False,True,,,True,,127.67419682579231,0.247,14999
p113_add_f0.3_learned_L1_wd1.0_s0_x40,True,113,add,0.3,learned,1,1.0,0,True,False,,18530.0,False,17920.0,313.3928816554038,0.9997,19525
p113_add_f0.3_learned_L1_wd1.0_s1_ood,True,113,add,0.3,learned,1,1.0,1,False,True,,,True,,345.2310663799926,0.2664,14999
p113_add_f0.3_learned_L1_wd1.0_s1_x40,True,113,add,0.3,learned,1,1.0,1,True,False,,15810.0,False,15715.0,283.7177372391182,0.998,16805
p113_add_f0.3_learned_L1_wd1.0_s2_x40,True,113,add,0.3,learned,1,1.0,2,True,False,,14620.0,False,13870.0,593.1810285687918,1.0,15615
p113_add_f0.3_learned_L1_wd1.0_s3,True,113,add,0.3,learned,1,1.0,3,False,False,,9410.0,False,8895.0,121.91842284983179,1.0,10405
p113_add_f0.3_learned_L1_wd1.0_s4,True,113,add,0.3,learned,1,1.0,4,False,False,,,True,,156.35749452761473,0.3039,14999
p113_add_f0.3_nope_L1_wd1.0_s0,True,113,add,0.3,nope,1,1.0,0,False,False,,13775.0,False,13685.0,239.71810183246274,0.9987,14770
p113_add_f0.3_nope_L1_wd1.0_s0_ood,True,113,add,0.3,nope,1,1.0,0,False,True,,,True,,78.73286559707891,0.2695,14999
p113_add_f0.3_nope_L1_wd1.0_s1,True,113,add,0.3,nope,1,1.0,1,False,False,,6370.0,False,5925.0,74.27862559861826,1.0,7365
p113_add_f0.3_nope_L1_wd1.0_s1_ood,True,113,add,0.3,nope,1,1.0,1,False,True,,12655.0,False,11750.0,431.59550666657805,0.9987,13650
p113_add_f0.3_nope_L1_wd1.0_s2_x40,True,113,add,0.3,nope,1,1.0,2,True,False,,14925.0,False,14230.0,244.06307573130744,1.0,15920
p113_add_f0.3_nope_L1_wd1.0_s3_x40,True,113,add,0.3,nope,1,1.0,3,True,False,,18365.0,False,17450.0,260.33222597322333,0.9996,19360
p113_add_f0.3_nope_L1_wd1.0_s4,True,113,add,0.3,nope,1,1.0,4,False,False,,,True,,142.1816299506104,0.361,14999
p113_add_f0.3_rope_L1_wd1.0_s0_ood,True,113,add,0.3,rope,1,1.0,0,False,True,,,True,,223.1758699281564,0.2612,14999
p113_add_f0.3_rope_L1_wd1.0_s0_x40,True,113,add,0.3,rope,1,1.0,0,True,False,,14970.0,False,14170.0,251.70420835744525,1.0,15965
p113_add_f0.3_rope_L1_wd1.0_s1,True,113,add,0.3,rope,1,1.0,1,False,False,,8965.0,False,8870.0,95.57788698620958,0.9997,9960
